Questionnaire Name	Account Number	Account Name	Country	CDP Region	Parent Section	Section	Row Number	Row Name	Climate Hazards	Did this hazard significantly impact your city before 2020?	Current probability of hazard	Current magnitude of hazard	Social impact of hazard overall	Most relevant assets / services affected overall	Please identify which vulnerable populations are affected	Future change in frequency	Future change in intensity	Future expected magnitude of hazard	When do you first expect to experience those changes in frequency and intensity?	Please describe the impacts experienced so far, and how you expect the hazard to impact in the future
Cities 2020	35853	City of Baltimore	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	8		Storm and wind > Severe wind	Yes	Medium	Medium	Increased risk to already vulnerable populations	Energy; Environment, biodiversity, forestry; Information & communications technology	Persons living in sub-standard housing	Increasing	Increasing	High	Medium-term (2026-2050)	Wind is the motion of air past a given point caused by a difference in pressure from one place to another. Wind poses a threat to Maryland in many forms, including winds that are produced by severe thunderstorms and tropical weather systems. The effects of wind can include blowing debris, interruptions in elevated power and communications utilities, and intensified effects of winter weather. Harm to people and animals, as well as damage to property, trees, and infrastructure, may result.  Data records indicate 156 high wind events took place between 1956 and 2017.  Severe wind events are expected to increase in frequency and intensity.
Cities 2020	35853	City of Baltimore	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	9		Extreme Precipitation > Heavy snow	Yes	Medium	Medium	Increased risk to already vulnerable populations	Emergency services; Transport; Waste management	Elderly; Low-income households; Marginalized groups; Persons living in sub-standard housing	None	Increasing	Low	Immediately	Winter storms produce more than just snow. Winter weather can take many forms, including freezing rain, sleet, extreme cold, and high winds. These conditions may occur singly or in any combination. Freezing rain is that which falls onto a surface where the temperature is below freezing, causing the rain to form a coating of ice. Conversely, sleet occurs as raindrops freeze into ice pellets in the cold air before reaching the ground. Like snow, freezing rain and sleet can create hazardous conditions for motorists. Even small accumulations of ice can make walking or driving extremely dangerous. Moreover, significant accumulations of ice can fell trees and utility lines, resulting in loss of power and communication. While winter storms are expected in Baltimore— and the City budgets and prepares for snow removal activities each year — winter storms occasionally reach a magnitude that overwhelms local response efforts. This stress may be placed on the transportation system as roads are unable to be efficiently salted or plowed, or it may be placed on electrical infrastructure.  Over the past decade, Baltimore City has experienced several strong winter storms that have disrupted regular activities and caused a number of automobile accidents and power outages.  While rising temperatures are causing Baltimore to experience less snowfall overall, we expect to see an increase in intensity from heavy snow events.(Excerpt from DP3)
Cities 2020	35853	City of Baltimore	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	10		Biological hazards > Vector-borne disease	No	Medium	Medium High	Increased demand for healthcare services; Increased risk to already vulnerable populations	Food & agriculture; Public health; Society / community & culture	Children & youth; Elderly; Persons with chronic diseases	Increasing	Increasing	Low	Medium-term (2026-2050)	Warmer, wetter conditions help insects and diseases flourish. In a changing climate, increases in average temperature, precipitation, and humidity will enable disease-carrying vectors and pathogens to infiltrate urban environments more easily. These conditions create favorable environments, for example, for breeding mosquitoes, which are known carriers of disease. Already, Baltimore has experienced a growing population of the tiger mosquito, originally native to Southeast Asia. According to the National Climate Assessment, shorter and warmer winters may increase survival and growth of disease-causing agents and parasites. Additionally, a changing climate may influence the distribution of diseases that are sensitive to temperature and moisture — including anthrax, blackleg, and hemorrhagic septicemia — and lead to increased incidence of ketosis, mastitis, and lameness in dairy cows.(Excerpt from DP3)
Cities 2020	35854	City of Brussels	Belgium	Europe	Climate Hazards and Vulnerability	Climate Hazards	1		Flood and sea level rise > Groundwater flood	Yes	Medium	Medium High	Other, please specify: Non étudié	Land use planning	Other, please specify: Non étudié	Increasing	Increasing	High	Long-term (after 2050)	Zones inondables existantes voyant leur exposition augmentée avec une augmentation potentiel des dégâts associés.
Cities 2020	35854	City of Brussels	Belgium	Europe	Climate Hazards and Vulnerability	Climate Hazards	2		Extreme Precipitation > Rain storm	Yes	Medium	Medium	Other, please specify: Non étudié précisement	Other, please specify: Non connu précisement	Other, please specify: Non connu précisement	Increasing	Increasing	Do not know	Long-term (after 2050)	Zones inondables existantes voyant leur exposition augmentée avec une augmentation potentiel des dégâts associés.
Cities 2020	35854	City of Brussels	Belgium	Europe	Climate Hazards and Vulnerability	Climate Hazards	3		Extreme hot temperature > Heat wave	Do not know	Low	Low	Increased demand for healthcare services	Commercial; Energy; Environment, biodiversity, forestry; Land use planning; Residential; Tourism; Transport	Other, please specify: Non connu	Increasing	Increasing	High	Long-term (after 2050)	Dégradation du confort thermique des usagers des transports en commun en période de forte chaleur, rupture de services de ces derniers (fortes chaleurs, inondations). Augmentation des consommations énergétiques estivales, diminution des consommations énergétiques hivernales. Prégnance du phénomène d'ICU plus impactant. Effets sanitaires des fortes chaleurs et de la dégradations de la qualité de l'air estivale
Cities 2020	35857	City of Cincinnati	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	1		Extreme hot temperature > Heat wave	Yes	High	Medium High	Increased demand for public services; Increased risk to already vulnerable populations	Emergency services; Food & agriculture; Public health	Children & youth; Elderly; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities	Increasing	Increasing	High	Short-term (by 2025)	Cincinnati is heating up and will continue to do so. By the end of the century the average annual temperature in Cincinnati is expected to rise seven degrees and include two major heat waves per year. Our summers will start to feel more like Pharr, TX, a border city 1,400 miles south of Cincinnati! Right now, Ohio averages five days per year that are considered dangerously hot (Over 95°F). That’s two more sweltering days than we saw in 1950, but by 2050 we can expect over 30 dangerously hot days per year. More dangerous heat days mean higher rates of asthma, heat rash and cramps, as well as heat stroke, which can be fatal. Increased heat will affect more than your summer plans. Hotter weather means higher evaporation rates. Rivers like the Great Miami could shrink by 35% , and agricultural productivity will suffer. Winters will be warmer too. With changes to the freeze/thaw cycle comes some unexpected challenges like flooding, increased insect and weed populations, and loss of native species that require cold weather.
Cities 2020	35857	City of Cincinnati	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	2		Flood and sea level rise > Flash / surface flood	Yes	High	Medium Low	Increased demand for public services	Emergency services; Public health; Water supply & sanitation	Low-income households; Persons living in sub-standard housing	Increasing	Increasing	High	Short-term (by 2025)	Cincinnati has seen almost a 40% increase in the amount of precipitation falling in very heavy rain events since the 1950s, and it is predicted that this trend could cause the Ohio River to surge by 25% in the next 30 years. Major storm events can cause major damage, ranging from sewer backups, to landslides, to flash flooding. The storms of 2017 have forced the City to spend over $50 million on storm-related issues. These costs have prompted the City to form an Extreme Weather Task Force to evaluate policy recommendations to prepare for and minimize future storm damages. Major flash flooding in May 2020 caused 4,900 Hamilton County residents to lose power and forced evacuations across Southwest Ohio.
Cities 2020	35857	City of Cincinnati	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	3		Extreme cold temperature > Extreme winter conditions	Yes	High	High	Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Commercial; Emergency services; Food & agriculture	Children & youth; Elderly; Low-income households; Persons living in sub-standard housing; Persons with chronic diseases; Persons with disabilities; Unemployed persons	Increasing	Increasing	High	Medium-term (2026-2050)	Extreme winter conditions have cause shortages of resources and temporary shutdown of businesses, which can harm the economy of Cincinnati. Roads are also increasingly dangerous, and more accidents can occur. Extreme winter conditions can cause an increased health risk to many vulnerable populations. As extreme winter conditions worsen in both quantity and strength, all these impacts will likely worsen.
Cities 2020	35857	City of Cincinnati	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	4		Flood and sea level rise > River flood	Yes	High	Medium Low	Fluctuating socio-economic conditions; Increased demand for public services; Increased risk to already vulnerable populations	Emergency services; Public health; Water supply & sanitation	Persons living in sub-standard housing	Increasing	Increasing	High	Short-term (by 2025)	Cincinnati has seen almost a 40% increase in the amount of precipitation falling in very heavy rain events since the 1950s, and it is predicted that this trend could cause the Ohio River to surge by 25% in the next 30 years. Major storm events can cause major damage, ranging from sewer backups, to landslides, to flash flooding. The storms of 2017 have forced the City to spend over $50 million on storm-related issues. These costs have prompted the City to form an Extreme Weather Task Force to evaluate policy recommendations to prepare for and minimize future storm damages.
Cities 2020	35857	City of Cincinnati	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	5		Biological hazards > Insect infestation	Yes	Medium	Medium	Increased demand for healthcare services; Increased incidence and prevalence of disease and illness	Environment, biodiversity, forestry; Food & agriculture; Public health	Persons living in sub-standard housing; Persons with chronic diseases	Increasing	Increasing	Medium	Medium-term (2026-2050)	As the climate changes and temperatures rise, winters will become shorter and Ohio growing seasons could extend by 6 weeks. While potentially good for farmers and food production, it also impacts insects and agricultural pests. As CO2 levels increase, the nitrogen levels of plants fall—a crucial nutrient for most insects. This can cause pest attacks to be more severe as they eat more plants to gain more nitrogen. And with shorter winters, more of these agricultural nuisances will live longer. Extended periods of hotter weather could mean more ticks and mosquitos in Ohio, and therefore more global spread of infectious diseases and local spread of vector-borne diseases like Lyme. Cincinnati already ranks 25th among the 50 U.S. cities with the most mosquitoes. Some fungi and other pathogens are moving northward up to 4 miles per year. As Cincinnati heats up, the city will have to prepare for bigger populations of familiar and newly introduced pests.
Cities 2020	35857	City of Cincinnati	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	6		Biological hazards > Air-borne disease	Yes	Medium High	Medium High	Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Emergency services; Environment, biodiversity, forestry; Public health	Children & youth; Elderly; Persons with chronic diseases; Persons with disabilities	Increasing	Increasing	High	Short-term (by 2025)	As Cincinnati’s climate changes, there could be many changes that affect our daily health. Air quality deteriorates as hotter weather causes more pollutants—ozone and fine particles—which exacerbates respiratory conditions like asthma and chronic obtrusive pulmonary disease. As air pollution increases, so do negative cardiovascular outcomes like heart attacks and deep vein clots. As extreme temperatures become the new normal, Cincinnati could see heat-related deaths increase by 70-120% by the 2080’s. Additionally, the rise of heavy downpours and floods due to climate change will lead to more sewer overflows and wet basements. These events can cause mold to grow in homes and businesses, and transport disease-causing bacteria, viruses, and parasites.
Cities 2020	35857	City of Cincinnati	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	7		Water Scarcity > Drought	Yes	Medium High	Medium High	Fluctuating socio-economic conditions; Increased demand for public services	Commercial; Food & agriculture; Public health	Elderly; Low-income households; Other, please specify: Farmers, construction workers, sanitation workers, etc. who work in outdoor conditions.	Increasing	Increasing	High	Medium-term (2026-2050)	One of the chronic threats to agriculture from climate change in the Greater Cincinnati Area is crop loss. Rise in average temperatures will lead to longer frost-free seasons and other conditions that can increase crop yield (such as higher concentrations of atmospheric CO2), but this heat will also lead to severe drought and pest issues. Across the state of Ohio, summer drought severity is projected to increase by 50% by 2050.  Lower, more erratic water levels and rising temperatures will cause inland Greater Cincinnati counties such as Butler and Warren to experience the worst droughts in the area.  Hotter summers will create more high-risk working conditions for farmers, and cause crop ranges to migrate north (particularly for corn and soy, resulting in major economic output losses). Wetter springs, more flooding, and effects to quality of agricultural water resources will create more production unpredictability and lead to crop losses if farms are not prepared for severe events.
Cities 2020	35857	City of Cincinnati	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	8		Mass movement > Landslide	Yes	High	High	Increased demand for public services; Increased risk to already vulnerable populations; Population displacement	Commercial; Industrial; Land use planning; Residential; Water supply & sanitation	Low-income households; Persons living in sub-standard housing	Increasing	Increasing		Short-term (by 2025)	Cincinnati has a high risk for landslides due to both the geography of the area as well as the development of land. The city and surrounding area has one of the highest per-capita costs due to landslides in the U.S., especially since 2011.The city is especially susceptible to landslides along streams and valleys, because these areas have primarily silt and clay soils that result in bedrock failure. These failures primarily occur in areas dominated by shale, such as the Kope Formation and the Miamitown Shale. Hazard risk also increases in areas of development, where the land is disturbed due to construction and other activities. Landslides in recent years have increased due to increased rainfall and the hilly nature of the city. Columbia Parkway has been subject to multiple landslides in the last several years alone, which have resulted in road closures and structural damage costing millions of dollars. As landslides become more common, Cincinnati will continue to see damage to infrastructure and housing in residential areas, which increases risks to citizens and harms the strength of our economy.
Cities 2020	35858	City of Cape Town	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	1		Extreme Precipitation > Rain storm	Yes	Medium High	Medium High	Increased risk to already vulnerable populations; Population displacement	Emergency services; Public health; Residential; Transport	Low-income households; Persons living in sub-standard housing; Persons with chronic diseases	None	None	Medium High	Immediately	While Cape Town is projected to receive less annual rainfall into the future, storm events due to cut-off low systems are projected to remain at approximately the same as current levels. Cut-off low systems can bring particularly damaging winds and heavy rains. Storm events due to mid-latitude cyclones are projected to decrease into the future due to the southward shift of these weather systems. However, flooding in Cape Town is primarily driven by high vulnerability due to poor drainage, high water tables, the presence of wetlands, and informality and sub-standard housing. This is expected to remain into the future and worsen as increasingly marginal land is informally occupied.
Cities 2020	35858	City of Cape Town	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	2		Extreme hot temperature > Heat wave	Yes	High	High	Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased resource demand; Increased risk to already vulnerable populations	Food & agriculture; Public health; Residential; Water supply & sanitation	Elderly; Low-income households; Persons living in sub-standard housing; Persons with chronic diseases	Increasing	Increasing	High	Immediately	Increased temperatures will have impact on various economic sectors, as it would likely lead to an increased need for cooling and refrigeration in summer, which could impact energy security and pricing. People are likely to be increasingly prone to the negative health effects of increased average and maximum temperatures, including higher mortality rates for elderly and chronically ill people. Higher temperatures could have effects on worker productivity, with knock on economic impacts. Heat stress on crop yields, rangeland and livestock productivity, can cause damage to agricultural productivity, which will affect Cape Town’s food production and supplies. This could increase the price of food and exacerbate food insecurity, particularly for Cape Town’s most vulnerable communities. Heat often leads to an increase in water demand for e.g. watering gardens, filling swimming pools, with serious consequences should heat waves and drought co-occur.
Cities 2020	35858	City of Cape Town	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	3		Flood and sea level rise > River flood	Yes	Medium	Medium	Increased risk to already vulnerable populations; Other, please specify: Damage to roads and properties; Population displacement	Emergency services; Public health; Residential	Persons living in sub-standard housing	None	None	Medium	Immediately	Flooding is expected to remain at approximately the same levels as currently occur. Flooding has the following impacts: Places increased pressure on disaster relief systems;  Damage to private and public infrastructure;  Create challenges to stormwater systems in urban settlements; Increase soil erosion, river bank erosion and demands for protection structures; Impact on insurance coverage, pay-outs and premiums.
Cities 2020	35858	City of Cape Town	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	4		Water Scarcity > Drought	Yes	High	High	Fluctuating socio-economic conditions; Increased conflict and/or crime; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Other, please specify: Increased water costs	Public health; Residential; Water supply & sanitation	Children & youth; Elderly; Low-income households; Women & girls	Increasing	Increasing	High	Immediately	Between 2015 and 2017 Cape Town experienced a severe drought. The impacts of this multi-year severe drought led in early 2018 to the unprecedented possibility that Cape Town and surrounds may run out water entirely. This was averted due to strong action taken by the City and citizens of Cape Town to conserve water. The potential impact of severe water shortages included the potential collapse of the city's wastewater and sanitation system due to a lack of water in the system, and the consequent health impacts thereof. The risk to human health through reduced capacity to carry out normal hygiene such as toilet flushing, bathing, and clothes washing also poses a risk to individual and public health. The impacts of drought on agriculture are  serious, with consequent serious negative economic impacts.  In the longer term, water scarcity could have negative effects on: Existing business processes, retention of existing businesses and future new investments, with associated impacts on job retention, job creation and economic growth; The quality of water and the state of rivers and wetland ecosystems, with less water available to flush these systems and with an increased potential for failure of City infrastructure, such as waste water treatment works, which rely on rainfall to dilute treated effluent, all leading to increased human health risks; Biodiversity, where flora and fauna might not survive and drying out of vegetation, which together with increased wind speeds could increase the frequency of wild fires; Water price increases, which could have a knock on effect to the economy and society
Cities 2020	35858	City of Cape Town	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	5		Wild fire > Forest fire	Yes	High	Medium	Other, please specify: Biodiversity loss; risk to buildings and human life; loss of recreational amenities and amenity value of natural spaces	Emergency services; Environment, biodiversity, forestry; Residential	Other, please specify: Those living at the interface between urban and natural areas	Increasing	Increasing	Medium	Short-term (by 2025)	Forest fire here refers to wildfires generally. Cape Town does not contain significant forest ecosystems. Increasing frequency and intensity of wildfires could have a detrimental effect on lives, biodiversity, infrastructure, agriculture, and insurance. Homes and businesses close to natural areas and nature reserves are most at risk. High winds combined with hot and dry conditions created increased risk of wildfires. New wildfire management procedures are in place which have improved management of this risk. It must be noted that the natural vegetation of Cape Town (fynbos ecosystem) is fire prone and requires fire in order to flourish; it is therefore an ongoing challenge to ensure that natural vegetation is able to burn as required without impacting on human life or health. As such,  controlled ecological burns are conducted in the city's nature reserves where possible. Too-frequent fires will have a negative impact on biodiversity in the city, as many fynbos species are slow growing.
Cities 2020	35858	City of Cape Town	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	6		Flood and sea level rise > Coastal flood	Yes	Medium High	Medium	Other, please specify: Damage to property and infrastructure in the coastal zone; Loss of coastal amenity value for recreation	Emergency services; Environment, biodiversity, forestry; Residential	Other, please specify: Those living adjacent to the coast; People who use the coast for recreation	Increasing	Increasing	Medium	Immediately	Coastal flooding will lead to increasing damage to public infrastructure and private property. It will also result in coastal erosion and impact on estuaries. Coastal flooding will mostly affect already built-up areas of the coast, mostly middle to upper income suburbs. Coastal erosion  and sea level rise also threatens the recreational amenity value of beaches in Cape Town which will have a negative impact on the economy of coastal recreational nodes.
Cities 2020	35858	City of Cape Town	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	7		Chemical change > Salt water intrusion	No	Do not know	Medium	Other, please specify: Reduced viability of groundwater resources for water security purposes	Environment, biodiversity, forestry; Food & agriculture; Water supply & sanitation	Other, please specify: All groups as saltwater intrusion will negatively affect the viability of groundwater for water security purposes	Do not know	Do not know	Medium	Medium-term (2026-2050)	Salt water intrusion into ground water, aquifers, and coastal wetlands is possible, although currently the likelihood is unknown. This is of concern as aquifers are regarded as one of the key future water supply sources for Cape Town.
Cities 2020	35858	City of Cape Town	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	8		Storm and wind > Storm surge	Yes	Medium	Medium	Other, please specify: Damage to coastal infrastructure and buildings	Emergency services; Environment, biodiversity, forestry; Residential	Other, please specify: Those living adjacent to the coastal zone	None	None	Medium	Immediately	Storm surges will result in damage to public infrastructure and private property, as well as coastal erosion. The cost of repairing or replacing public infrastructure damaged or destroyed by storm surge is a challenge, especially in areas where repeated impacts occur.
Cities 2020	35858	City of Cape Town	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	9		Storm and wind > Severe wind	Yes	High	Medium High	Other, please specify: Increased fire risk;  damage to infrastructure	Emergency services; Energy; Transport	Persons living in sub-standard housing	Increasing	Increasing	Medium	Short-term (by 2025)	Stronger winds, especially those associated with severe storms, pose risks due to trees and power lines being damaged. Damage to power lines can cause isolated areas of the city to be without electricity for days, depending on the severity of the damage. Stronger winds will have an impact on certain economic sectors, as this will affect the harbour, which is already not able to operate for a number of days a year due to high wind speeds. Increased wind in combination with drying and increased temperatures will significantly increase the risk and spread of wildfires and urban fires. This is of particular concern within the city's informal settlements, which are already prone to fire. A correlation between the summer season and informal settlement fires has been noted. It is likely that weather conditions which promote the spread of fire contribute to the severity of informal settlement fires.
Cities 2020	35858	City of Cape Town	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	10		Flood and sea level rise > Flash / surface flood	Yes	Medium	Medium	Other, please specify: Damage to infrastructure and dwellings; Population displacement	Emergency services; Public health; Residential	Low-income households; Persons living in sub-standard housing	None	None	Medium	Immediately	Flooding is expected to remain at approximately the same levels as currently occur. Flooding has the following impacts: Places increased pressure on disaster relief systems;  Damage to private and public infrastructure;  Create challenges to stormwater systems in urban settlements; Increase soil erosion, river bank erosion and demands for protection structures; Impact on insurance coverage, pay-outs and premiums. Displacement of people, mostly from informal settlements, due to flooding is a significant challenge.
Cities 2020	35858	City of Cape Town	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	11		Flood and sea level rise > Groundwater flood	Yes	Medium	Medium	Other, please specify: Damage to infrastructure and dwellings; Population displacement	Emergency services; Public health; Residential	Low-income households; Persons living in sub-standard housing	None	None	Medium	Immediately	Flooding is expected to remain at approximately the same levels as currently occur. Flooding has the following impacts: Places increased pressure on disaster relief systems;  Damage to private and public infrastructure;  Create challenges to stormwater systems in urban settlements; Increase soil erosion, river bank erosion and demands for protection structures; Impact on insurance coverage, pay-outs and premiums. Displacement of people, mostly from informal settlements, due to flooding is a significant challenge.
Cities 2020	35858	City of Cape Town	South Africa	Africa	Climate Hazards and Vulnerability	Climate Hazards	12		Storm and wind > Extra tropical storm	Yes	Medium	Medium High	Other, please specify: Damage to infrastructure and dwellings; Population displacement	Emergency services; Residential; Transport	Low-income households; Other, please specify: People living in high risk areas; Persons living in sub-standard housing	Decreasing	None	Medium	Immediately	Landfall of mid-latitude cyclones is expected to decrease in the future due to the southward shift of these weather systems. This will have a negative impact on the City's water resources.  However, it must be noted that the negative impact of storms on Cape Town is largely driven due to high levels of vulnerability including substandard housing and inadequate drainage, especially within the city's informal settlements.
Cities 2020	35859	City of Cleveland	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	1		Extreme hot temperature > Heat wave	No	Medium High	Medium High	Increased demand for healthcare services; Increased resource demand; Increased risk to already vulnerable populations	Emergency services; Energy; Food & agriculture; Public health; Residential	Children & youth; Elderly; Low-income households	Increasing	Increasing	High	Medium-term (2026-2050)	From 1956 to 2012, the average annual temperature in Cleveland increased by 2.4°F. Average temperatures in Cleveland are projected to increase 3.0°F by mid-century and 5.0°F by the end of century. These higher temperatures will increase the number of heat-related deaths, reduce water quality in Lake Erie, strain food systems, degrade air quality, and put pressure on native plants and animals. Warmer temperatures will reduce building heating loads, but these gains are more than offset by increased reliance on air-conditioning. Increasing intensity of heat waves also increases the chances of another blackout in Northeast Ohio.
Cities 2020	35859	City of Cleveland	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	2		Extreme Precipitation > Rain storm	No	High	Medium High	Increased demand for public services; Increased incidence and prevalence of disease and illness	Environment, biodiversity, forestry; Food & agriculture; Land use planning; Water supply & sanitation	Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with disabilities	Increasing	Increasing	Medium	Immediately	The amount of total annual precipitation in Cleveland has increased by 24.6% from 1951 to 2014. An increase in precipitation was observed in all four seasons, with the winter seeing the greatest percentage increase of 23.4% (1.7”). Moreover, the frequency and intensity of severe storms has increased. Cleveland has seen a 16.3% increase in the number of heavy precipitation events (49 storms from 1961 to 1990 compared to 57 storms from 1981 to 2010). The northeastern part of Ohio is projected to experience on the order of 2 more days of heavy precipitation (events greater than 1.25”) per year. Heavy precipitation events of more than 2” in a day (i.e., 24-hour period) are projected to increase by no more than one day (0.25 to 1 days) by mid-century and increase by slightly more (0.75 to 1.25 days) by end of century. Heavy rain and lake effect snow are expected to increase. This may cause flooding, combined sewer overflows, a reduction in river and stream quality, and higher maintenance costs.
Cities 2020	35859	City of Cleveland	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	3		Flood and sea level rise > Flash / surface flood	No	High	Medium High	Fluctuating socio-economic conditions; Increased demand for public services; Increased risk to already vulnerable populations; Loss of traditional jobs; Population displacement	Commercial; Emergency services; Land use planning; Residential; Tourism; Transport; Water supply & sanitation	Low-income households	Increasing	Increasing	Do not know	Immediately	From the 1961-1990 period to the 1981-2010 period, the amount of precipitation falling during the heaviest 1% of rain events increased by 22%. This trend means more flooding, which will exacerbate a range of risks to Lake Erie, including harmful algal blooms, an increased number of combined sewer overflows, and declining beach health. Homes in Northeast Ohio will also experience increased rates of flooding.Due to consistent heavy precipitation over the previous year, water levels in Lake Erie and Cuyahoga River experienced record highs in June 2019. This is already having serious impacts on the fishing industry, water-related tourism, recreation, development, and more.
Cities 2020	35860	City of Dallas	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	1		Water Scarcity > Drought	Yes	Medium High	Medium High	Increased demand for public services; Increased risk to already vulnerable populations	Environment, biodiversity, forestry; Other, please specify: Drainage and Infrastructure; Public health; Water supply & sanitation	Low-income households; Marginalized groups; Persons living in sub-standard housing	Increasing	Increasing	Medium	Immediately	Dallas is located in the South-central Great Plains Region of North America, as defined in Chapter 23 of the 4th National Climate Assessment (NCA4) (2018), a 1,500 page two-part congressionally mandated report by the U.S. Global Change Research Program (USGCRP).  Droughts are historically common and can be severe.  Water resources are critical for the health and prosperity of the City.  As droughts become more frequent and more severe, the City must adapt and change to deal with the conditions.  The City operates under a continuing Drought Contingency Plan, along with Long Range Water Supply Plan, and Water Conservation Plan to help mitigate extreme impacts.
Cities 2020	35860	City of Dallas	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	2		Extreme hot temperature > Extreme hot days	Yes	Medium High	Medium	Increased demand for healthcare services; Increased incidence and prevalence of disease and illness; Increased resource demand; Other, please specify: Increased Mortality	Energy; Public health; Residential; Transport; Water supply & sanitation	Low-income households; Marginalized groups; Persons living in sub-standard housing; Persons with chronic diseases	Increasing	Increasing	High	Short-term (by 2025)	Climate predictions in the 4th National Climate Assessment predict that that Dallas will see a drastic increase in the number days above 100 F.  There are also long-term predictions that extreme summer temperatures may reach 120◦ F, with an increase of 30 to 60 “extreme heat days (temperatures over 100◦ F).  In extreme heat, many operations become limited. Water supply, and transportation infrastructure is under stress, and the health of the community, particularly the old and young, is threatened.
Cities 2020	35860	City of Dallas	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	3		Biological hazards > Vector-borne disease	Yes	Medium	Low	Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations	Emergency services; Public health; Residential	Children & youth; Elderly; Low-income households; Persons living in sub-standard housing	Increasing	Increasing	Medium	Short-term (by 2025)	As conditions warm, diseases from warmer climates may become more prevalent in Dallas.  Without cold winter weather, insects such as mosquitos will be more common and diseases carried by insects and other diseases will impact the community.
Cities 2020	35860	City of Dallas	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	4		Flood and sea level rise > Flash / surface flood	Yes	Medium High	Medium High	Increased demand for public services; Increased resource demand; Increased risk to already vulnerable populations; Other, please specify: Loss of Life; Population displacement	Commercial; Emergency services; Environment, biodiversity, forestry; Other, please specify: Increased Mortality, Disruptions to Transportation and other infrastructure; Residential; Water supply & sanitation	Marginalized groups; Other, please specify: Communities in low lying  areas.; Persons living in sub-standard housing	Increasing	Increasing	High	Immediately	Dallas is subject to periodic flooding.  Flooding causes property damage in low-lying areas prone to flooding, and increasingly in areas not previously identified as being floodprone.  Severe flooding and flash flooding can result in mortality.  Climate change will result in increased intensity and frequency of high-intensity rainfall events that can cause flooding.  Dallas has invested in improvements to levees/ pumping systems and some local drainage systems to reduce the impacts of flooding; however, the City is now working to address the older local neighbourhood drainage systems that remain vulnerable.
Cities 2020	35860	City of Dallas	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	5		Flood and sea level rise > River flood	Yes	Medium	Medium	Increased demand for healthcare services; Increased demand for public services; Increased incidence and prevalence of disease and illness; Increased risk to already vulnerable populations; Other, please specify: Transportation	Emergency services; Environment, biodiversity, forestry; Residential; Transport; Water supply & sanitation	Marginalized groups; Other, please specify: Communities in low lying areas.; Persons living in sub-standard housing	Increasing	Increasing	Medium	Short-term (by 2025)	The Main Stem Trinity River flows through Dallas. Along the Trinity River system upstream of Dallas, there are four large reservoirs used for water supply and flood control. In 2015, the region received the annual average rainfall within the period of one month, causing this upstream flood storage capacity to be simultaneously exceeded at all four reservoirs.  This resulted in both localized flooding near the reservoirs, and uncontrolled discharge and flooding within the Trinity River floodway for an extended period.  Dallas has an extensive levee system that protects a majority of the City population, and the central business district from this type of flooding.  However, the outlying areas not protected by levees, and areas served by aging infrastructure remain vulnerable to riverine flood threat.
Cities 2020	35862	City of Detroit	United States of America	North America	Climate Hazards and Vulnerability	Climate Hazards	1		Extreme hot temperature > Heat wave	Yes	Medium High	Medium High		Energy; Public health; Residential		Increasing	Increasing			Impact to vulnerable populations
