Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	Renewable energy or electricity target implemented	Scale	Type	Energy / electricity types covered by target (including unit)	Base year	Total renewable energy / electricity covered by target in base year	Percentage renewable energy / electricity of total energy or electricity in base year	Target year	Total renewable energy / electricity covered by target in target year	Percentage renewable energy / electricity of total energy or electricity in target year	Percentage of target achieved	Please specify plans to meet the target(s) and in which sector this target will be implemented	Population	Population Year	City Location	Last update
2020	35475	City of Calgary	Calgary	Canada	North America	public	Yes	Local government operations			2009		75	2018	466850.2	100	100	The City of Calgary (corporation) has an agreement with our electricity provider (Enmax) to supply 100% of electricity consumed in local government operations from renewable energy sources.   Starting in 2009, the agreement with ENMAX provided 75% of The City of Calgary's electricity from renewable sources, and 100% renewable supply started in 2014.Enmax has built wind farms (Kettle Hills and Taber) in southern Alberta where the wind resource is the best in the province in order to supply renewable energy to The City of Calgary.  Enmax registers renewable electricity certificates (RECs) with EcoLogo for the electricity generated at the wind farms on The City of Calgary's behalf.  ENMAX is also able to draw from a pool of renewable energy products (low-impact wind, hydro and biomass) generated in Alberta if the Taber and Kettle Hills wind farms do not completely cover The City's electricity consumption over a year.	1285711	2019	POINT (-114.071 51.0486)	2021-05-20T02:49:34.733
2020	31090	District of Columbia	Washington, DC	United States of America	North America	public	Yes	City-wide	Electricity	All electricity consumed (in MWh)	2012		6.7	2032		100	11.5	The District's Comprehensive Energy Plan: Clean Energy DC, was finalized in August 2018 and provides recommendations to increase the use of renewable energy. On March 22, 2019, the District's Clean Energy DC Omnibus Amendment Act of 2018 became law, which enacted the most recent update to the city's Renewable Portfolio Standard, strengthening it to require 100% of electricity come from renewable sources by 2032, including 5.5% from local solar. The law also sets a longer-term local solar generation target of meeting 10% of electricity usage with local solar by 2041.  The RPS standard was put in place in 2005 and updated in 2008, 2011, and 2016. The 2016 amendment, known as the Renewable Portfolio Standard Expansion Amendment Act of 2016 also created a funding mechanism for the Solar for All program, which establishes a goal of putting solar on 100,000 low income households in the District. In 2019, more 17.5% of total electricity use in the District was supplied by renewable energy, including 1.85 from local solar, however this is a conservative and likely underestimation, as it only captures the compliance market. There is also a voluntary renewable market, which we have not reported here as we suspect there is some overlap between the two, and we erred on the side of not double-counting that generation.	701547	2018	POINT (-77.0369 38.9072)	2021-05-20T02:49:34.733
2020	73750	Tarakan City		Indonesia	Southeast Asia and Oceania	public	Intending to undertake in the next 2 years												245784	2019		2021-05-20T02:49:34.733
2020	60029	City of Cagayan de Oro	Cagayan de Oro	Philippines	Southeast Asia and Oceania	public	In progress												675950	2015	POINT (124.632 8.45423)	2021-05-20T02:49:34.733
2020	54345	City Government of Davao	Davao	Philippines	Southeast Asia and Oceania	public	In progress												1632991	2015	POINT (125.625 7.07475)	2021-05-20T02:49:34.733
2020	35883	City of San José	San José, CA	United States of America	North America	public	Yes	City-wide	Electricity	Total installed capacity of renewable electricity (in MW)	2019	196		2050	1430		14	This target covers all renewable electricity generation installed within city boundaries (primarily solar), whether installed on residential, commercial, industrial, or institutional buildings. We also have a goal to install 1 GW of solar generation capacity in the city by 2040. The City is supporting the installation of solar panels by allowing online permits through a streamlined system, and sharing guidance and information, particularly on available financial incentives. The city received the SolSmart Gold designation (https://www.solsmart.org/) in October 2019 to recognize the following actions taken by the city to remove obstacles to solar installation: - Created an online permitting checklist, increasing transparency for community members and solar installers - Reviewed local zoning codes and identified restrictions that intentionally or unintentionally prohibit solar PV development - Allowed solar by-right accessory use in all zones (so solar installations don’t require special permits or hearings) - Cross-trained both inspection and permitting staff on solar PV - Provided a streamlined permitting pathway for small PV systems - Created a streamlined process to approve certain solar permit applications over the counter	1046079	2017	POINT (-121.886 37.3382)	2021-05-20T02:49:34.733
2020	31114	City of Sydney	City of Sydney	Australia	Southeast Asia and Oceania	public	Yes	Local government operations	Electricity	All electricity produced (in MWh)	2005	3312	10	2021	20000	100	20	Purchase of 100% offsite renewables to match the City's total net electricity consumption (note that mandatory RECs will be surrended 25,000 less 20%)	249676	2019	POINT (151.207 -33.8675)	2021-05-20T02:49:34.733
2020	54650	Prefeitura de Palmas	Palmas	Brazil	Latin America	public	Yes												291855	2018	POINT (-48.3243 -10.2491)	2021-05-20T02:49:34.733
2020	60387	Alcaldía de Sincelejo	Sincelejo	Colombia	Latin America	public	Intending to undertake in the next 2 years												277773	2020	POINT (-75.3906 9.30457)	2021-05-20T02:49:34.733
2020	59707	Town of Princeton, NJ		United States of America	North America	public	In progress												31822	2019		2021-05-20T02:49:34.733
2020	60638	Walvis Bay Municipality	Walvis Bay	Namibia	Africa	public	Do not know												100000	2016	POINT (12.5247 -22.9389)	2021-05-20T02:49:34.733
2020	60599	Town of Bridgewater, NS	Bridgewater	Canada	North America	public	In progress												8532	2016	POINT (-64.5188 44.3786)	2021-05-20T02:49:34.733
2020	50387	Prefeitura de Guarulhos	Guarulhos	Brazil	Latin America	public													1349000	2017	POINT (-46.5338 -23.4542)	2021-05-20T02:49:34.733
2020	58531	City of Somerville, MA	Somerville	United States of America	North America	public	Not intending to undertake												81562	2018	POINT (-71.0826 42.3934)	2021-05-20T02:49:34.733
2020	840924	Prefeitura de Alexânia		Brazil	Latin America	public	Do not know												20033			2021-05-20T02:49:34.733
2020	50665	Município de Ovar	Ovar	Portugal	Europe	public	Do not know												55398	2017	POINT (-8.59723 40.8901)	2021-05-20T02:49:34.733
2020	73295	City of La Crosse, WI	La Crosse	United States of America	North America	public	Yes	Local government operations			2007	23700	14	2025	0	25	26	NA	51320	2010	POINT (-91.2396 43.8014)	2021-05-20T02:49:34.733
2020	31115	City of Johannesburg	Johannesburg	South Africa	Africa	public	Yes	City-wide	Energy	Energy produced (percentage)	2011	0	50	2040					5740000	2020	POINT (28.0473 -26.2041)	2021-05-20T02:49:34.733
2020	59969	City of Mandurah		Australia	Southeast Asia and Oceania	public	Yes	Local government operations	Energy	All energy consumed (percentage)	2016	100	6	2030	100	30	43		92594	2020		2021-05-20T02:49:34.733
2020	73666	Cuyahoga County		United States of America	North America	public	In progress												1241718	2018		2021-05-20T02:49:34.733
2020	842160	Balikesir Metropolitan Municipality	Balikesir	Turkey	Europe	public													1228620	2019	POINT (27.8903 39.6533)	2021-05-20T02:49:34.733
2020	845316	Villa de Soto		Argentina	Latin America	public													10761	2016		2021-05-20T02:49:34.733
2020	31171	Ayuntamiento de Madrid	Madrid	Spain	Europe	public	Yes	Local government operations	Electricity	All electricity consumed (in MWh)								os Acuerdos de la Villa para la recuperación urbana frente a las consecuencias de la COVID 19 de 7 de julio de 2020 contemplan diversas medidas sobre eficiencia energética en la actuación municipal.En concreto, el acuerdo MEEyT.GT1.005/174 sobre economía sostenible prevé dar continuidad al Plan Madrid Genera Energía Limpia de eficiencia energética en edificios municipales, que se articula en torno a cuatro líneas de acción:Instalación de paneles fotovoltaicos para fomentar el autoconsumo de equipamientos públicos.Sustitución de todas las calderas de gasóleo.Mejora de la eficiencia energética.Adquisición de energía 100% renovable.	3266126	2019	POINT (-3.38756 40.1076)	2021-05-20T02:49:34.733
2020	54113	City of Flagstaff	Flagstaff	United States of America	North America	public	Yes	City-wide		Other, please specify: Proportion of community electricity use from renewables to be 68% by 2040	2017		12	2040		68	17.65	Local solar installations, cogeneration unit, solar thermal installations, wind energy, hydroelectric from Hoover Dam.	75038	2019	POINT (-111.631 35.1992)	2021-05-20T02:49:34.733
2020	848249	Corrales		Colombia	Latin America	public	Intending to undertake in the next 2 years												2498	2018		2021-05-20T02:49:34.733
2020	58346	Plymouth City Council	Plymouth	United Kingdom of Great Britain and Northern Ireland	Europe	public	Intending to undertake in the next 2 years												256384	2011		2021-05-20T02:49:34.733
2020	60125	Klaipeda City Municipality	Klaipeda	Lithuania	Europe	public	Yes	City-wide			2018		80	2040		100		The combined heat and power (CHP) plantFortum Klaipeda uses non-hazardous municipal and industrial waste as fuel. 250,000 tons of waste and biofuel can be incinerated annually in the plant's boiler, the energy efficiency of which is almost 90%. Heat production capacity of the plant is 50 MW (additionally 15 MW from condenser during winter time) and power generation capacity 20 MW.The generation of energy from non-hazardous municipal and industrial waste is an important part of Fortum's strategy and helps to use waste as local resources and reduce the environmental pollution caused by the emission of gases from waste dumbs. The operation of Fortum's power plant is consistent with the objective of the city of Klaipeda to establish a new waste management system in the region that would meet the European Union's environmental standards.	147892	2019		2021-05-20T02:49:34.733
2020	848409	Lince		Peru	Latin America	public	In progress												55000	2020		2021-05-20T02:49:34.733
2020	36504	Comune di Rimini	Rimini	Italy	Europe	public	Intending to undertake in the next 2 years												150590	2018	POINT (12.5695 44.0678)	2021-05-20T02:49:34.733
2020	58626	City of Racine, WI		United States of America	North America	public	Intending to undertake in the next 2 years												78860	2010		2021-05-20T02:49:34.733
2020	54667	Prefeitura Municipal de Contagem	Contagem	Brazil	Latin America	public	Do not know												659070	2018		2021-05-20T02:49:34.733
2020	831152	Municipio de San Pedro de Urabá	San Pedro de Urabá	Colombia	Latin America	public	Do not know												37255	2017	POINT (8.34552 -76.3414)	2021-05-20T02:49:34.733
2020	50551	City of Long Beach	Long Beach	United States of America	North America	public	Yes	Local government operations						2020	2			The above targets were set in the Sustainable City Action Plan (2010).  Further targets and a strategies to meet them will be discussed in the upcoming Climate Action and Adaptation Plan.	470130	2017	POINT (-118.194 33.7701)	2021-05-20T02:49:34.733
2020	54389	Taichung City Government	Taichung	Taiwan, Greater China	East Asia	public	Yes	Local government operations	Energy	Total installed capacity of renewable energy (in MW)	2018	1553.88	22.41	2022	1635.75	23.33	94.99	In order to promote the development of solar photovoltaic, the goal of triple photovoltaic is proposed. It is planned that by 2011, the capacity of solar photovoltaic installations in Taichung City will reach 353.3 MW.We will continue to require the structure of public housing to be safe and without water leakage. Besides, Set up solar photovoltaic, and track the installation situation of large electricity users.In addition, the subsidy program can reduce the cost of installation and promote the willingness of the public to participate. At the same time, various promotional activities can also raise the public's green energy awareness to achieve the goal of triple photoelectric.	2816917	2020	POINT (120.647 24.1619)	2021-05-20T02:49:34.733
2020	36494	Comune di Padova	Padova	Italy	Europe	public	Yes	City-wide	Electricity	All electricity produced (in MWh)	2005	0	0	2030	89289	6	15.8	The main actions that the Municipality is going to promote/implement are the following: (a) promotion of PV installations over the rooftops (residential, commercial, public and industrial buildings);(b) increase in the percentage of electric consumptions covered by certified green electricity, produced outside the municipal boundary;(c) production of electricity from the local incinerator;(d) production of electricity from biogas produced locally from sludge treatment plant.	210440	2017	POINT (11.8768 45.4064)	2021-05-20T02:49:34.733
2020	35860	City of Dallas	Dallas	United States of America	North America	public	Yes	Local government operations	Electricity	All electricity consumed (in MWh)	2015	357543	62	2017	718272	100	100	The City of Dallas purchases wind renewable energy credits equivalent to 100% of municipal electricity use. The City provides bio-gas to a cogen facility that provides 50% or the electricity to operate the 280 million gallon per day regional wastewater treatment plant.  Landfill gas from the city owned MSW landfill is processed for sale as for renewable energy. The 2019 Green Energy Policy sets forth the transition from RECs to onsite and offsite generated electricity.	1345047	2018	POINT (-96.8004 32.7801)	2021-05-20T02:49:34.733
2020	55372	Prefeitura Municipal de Canoas	Canoas	Brazil	Latin America	public	Intending to undertake in the next 2 years												341343	2015	POINT (-51.1862 -29.9133)	2021-05-20T02:49:34.733
2020	60142	City of Kisumu	Kisumu	Kenya	Africa	public	In progress												1155574	2019	POINT (34.7679 -0.0917)	2021-05-20T02:49:34.733
2020	32480	City of Adelaide	Adelaide	Australia	Southeast Asia and Oceania	public	Yes	Local government operations	Electricity	All electricity consumed (in MWh)	2016	21529	42.81	2020	21907	100	18	The City of Adelaide has partnered with Flow Power to power all the Council’s operation with 100% renewable electricity starting from 1 July 2020. The City of Adelaide has 330kW of solar PV installed on Council buildings. A further 845kW has been completed by 2019. Total Solar PV capacity is 1.175MW. Total on-site generation of solar PV is 3.65MWh in FY2019, and total grid consumption is 21.91MWh which is 51.4% renewable (SA grid).	24807	2018	POINT (138.601 -34.9285)	2021-05-20T02:49:34.733
2020	58513	City of Medford	Medford	United States of America	North America	public	Intending to undertake in the next 2 years												57765	2018	POINT (-122.876 42.3265)	2021-05-20T02:49:34.733
2020	36470	Comune della Spezia	La Spezia	Italy	Europe	public	In progress												93870	2017	POINT (9.83632 44.111)	2021-05-20T02:49:34.733
2020	63941	Broward County, FL	Broward	United States of America	North America	public	Yes	City-wide	Electricity	All electricity produced (in MWh)	2015		0	2040		20	0	Community Energy Strategic PlanRenewable Energy Action PlanGreenhouse Gas Inventory	1919644	2019	POINT (80.3659 26.1901)	2021-05-20T02:49:34.733
2020	44185	Suwon City	Suwon	Republic of Korea	East Asia	public	Yes	City-wide	Electricity	All electricity produced (in MWh)	2016	28377	4.1	2021	73043	10	6	Suwon's energy goal uses several indicators. We aim to reduce the self-sufficiency rate from 12.7% to 18%, the rate of renewable energy supply from 4.1% to 10%, and the final energy consumption from 2,656,000 TOE to 2,523,000 TOE. Through the establishment of a basic plan for regional energy, Suwon has selected and promoted 21 unit projects in five strategic areas: industrial, public, commercial, household, and transportation. In the public sector, the installation of sunlight power plants and sunlight stations will be expanded, and the installation of renewable energy in schools will be expanded. In addition, it is expanding the installation of new and renewable energy in the home sector through green home and green village supply projects.	1235093	2019	POINT (126.805 37.17)	2021-05-20T02:49:34.733
2020	849039	Ceres (Argentina)		Argentina	Latin America	public													16731	2018		2021-05-20T02:49:34.733
2020	848404	Mongui		Colombia	Latin America	public	Intending to undertake in the next 2 years												4243	2020		2021-05-20T02:49:34.733
2020	60284	Prefeitura de Angra dos Reis	Angra dos Reis	Brazil	Latin America	public	Do not know												169511	2010	POINT (-44.2442 -22.9983)	2021-05-20T02:49:34.733
2020	54075	City of Lakewood	Lakewood	United States of America	North America	public	Yes	Local government operations	Energy	All energy consumed (percentage)	2010		12	2025		45	91	Lakewood Sustainability Plan, Strategy BE1-D, pg. 39 - Municipal Renewable Energy GenerationLakewood has achieved 42% of its municipal electricity from renewable sources, but electricity is only 35% of municipal energy use, which also includes transportation and heating fuel. Energy from transportation and heating fuel is not currently known.	156500	2019	POINT (-105.081 39.7047)	2021-05-20T02:49:34.733
2020	42123	City of Goiânia	Goiânia	Brazil	Latin America	public	Intending to undertake in the next 2 years												1516113	2019	POINT (-49.2648 -16.6869)	2021-05-20T02:49:34.733
2020	31173	Comune di Milano	Milano	Italy	Europe	public	Yes	City-wide	Electricity	All electricity produced (in MWh)	2005	0	0	2030	1770000	28	0.3	The target  refers to electricity.  The Administration decided in this phase to give priority to electricity as electricity represents the 32% of total energy consumption at the city level. Besides future policies regarding building heating and mobility foresee a shift from fossil fuel towards electricity (heat pumps and electric vehicles) . The 28% targets represents the weighted average of  the following  targets set by the Administration for 2030:-coverage of 45% of domestic electrical uses from renewable sources-coverage of 10% of domestic electrical uses from renewable sourcesThe Air Quality and Climate Plan (in elaboration) includes the following measures:- Renewable Energy Communities. The Municipal Administration intends to promote the use of electricity from renewable sources, firstly through the massive diffusion of photovoltaic systems in the municipal area, and secondly through the consumption of renewable electricity with Guarantee of Origin (from new plants external to the city boundaries collectively financed) .  In order to spread photovoltaic systems in the municipal area, the Administration intends to promote the creation of renewable energy communities and the development of collective self-consumption pilot projects as required by recent Euroepan and national legislation.-New PV installation on municipal buildings.	1404431	2019	POINT (9.08635 45.8026)	2021-05-20T02:49:34.733
2020	60233	Pärnu City Government	Pärnu	Estonia	Europe	public	Yes												51504	2020	POINT (24.4966 58.3858)	2021-05-20T02:49:34.733
2020	847244	Chañaritos		Argentina	Latin America	public													219	2010		2021-05-20T02:49:34.733
2020	848402	Lincoln (Argentina)		Argentina	Latin America	public													42346	2018		2021-05-20T02:49:34.733
2020	848927	Ville de Maroua		Cameroon	Africa	public	Not intending to undertake												700000	2020		2021-05-20T02:49:34.733
2020	35859	City of Cleveland	Cleveland	United States of America	North America	public	Yes	City-wide			2016	500430	7.8	2050	6237597	100	13	ASSUMPTIONS:Assuming constant electricity demand from 2016 to 2050. Renewable portion of electricity generation profile increased from 7% in 2010 to 21.1% in 2018 for Cleveland Public Power and 2% to 4.5% for First Energy. In 2018, approximately 13% of electricity consumed in Cleveland came from renewable sources.Along with  implementing energy efficiency measures, plans to meet 100% renewable energy target includes: 1) Supporting Rooftop Solar2) Supporting Community Solar3) Green Power Program (Help homes and business easily procure renewable energy through their utility)4) Renewable Energy Procurement (Collaborate with the utility to procure large renewable energy project(s) to meet community needs)5) Utility Mix (Green the utility's electric supply)6) Large Renewable Energy Purchase Program (Help largest energy users easily procure renewable energy through their utility)	383793	2018	POINT (-81.6944 41.4993)	2021-05-20T02:49:34.733
2020	31113	City of Yokohama	Yokohama	Japan	East Asia	public	Yes	City-wide	Electricity		2016	230		2020	430		62	Solar PV:330Wind:4Hydro:1Waste:94	3753771	2020	POINT (139.638 35.4437)	2021-05-20T02:49:34.733
2020	36004	City of Abidjan	Abidjan	Côte d'Ivoire	Africa	public	Intending to undertake in the next 2 years												5052000	2016	POINT (-4.0083 5.36)	2021-05-20T02:49:34.733
2020	43926	City of Mannheim	Mannheim	Germany	Europe	public	Intending to undertake in the next 2 years												312722	2015	POINT (8.46603 49.4875)	2021-05-20T02:49:34.733
2020	42178	Distrito Metropolitano de Quito	Quito	Ecuador	Latin America	public	In progress												2239191	2010	POINT (-78.5167 -0.2333)	2021-05-20T02:49:34.733
2020	847245	Leandro . N. Alem		Argentina	Latin America	public													31364	2018		2021-05-20T02:49:34.733
2020	5871	Essex County Council		United Kingdom of Great Britain and Northern Ireland	Europe	public	Intending to undertake in the next 2 years												1492227	2019		2021-05-20T02:49:34.733
2020	58613	City of York Council	York	United Kingdom of Great Britain and Northern Ireland	Europe	public	Intending to undertake in the next 2 years												209900	2019		2021-05-20T02:49:34.733
2020	74671	Kadıköy		Turkey	Europe	public	Yes	City-wide	Energy	Total installed capacity of renewable energy (in MW)	2016	0	0	2030	1	1	1	Renewable energy applications for Municipal and associate buildings (Solar Energy)	482713	2019	POINT (29.0585 40.98)	2021-05-20T02:49:34.733
2020	35886	Comune di Torino	Torino	Italy	Europe	public	Yes	Local government operations	Electricity	All electricity consumed (in MWh)	2007	50	50	2020	100	100	100	SEAP GPP-APE	872316	2019	POINT (7.668 45.1006)	2021-05-20T02:49:34.733
2020	68378	Municipalidad de Santiago de Surco	Santiago de Surco	Peru	Latin America	public	Do not know												499210	2015	POINT (-77.0051 -12.1453)	2021-05-20T02:49:34.733
2020	840943	Prefeitura de Boa Ventura		Brazil	Latin America	public	Do not know												5751	2010		2021-05-20T02:49:34.733
2020	73781	Singra		Bangladesh	South and West Asia	public													33192	2011		2021-05-20T02:49:34.733
2020	35877	City of Pittsburgh	Pittsburgh	United States of America	North America	public	Yes	City-wide	Electricity	All electricity consumed (in MWh)	2003			2035		100			301048	2018	POINT (-79.9959 40.4406)	2021-05-20T02:49:34.733
2020	35872	Municipality of Recife	Recife	Brazil	Latin America	public	Yes	Local government operations	Electricity	All electricity consumed (percentage)	2018	20	25	2037	100	100	3	O Projeto Recife Cidade da Eficiência Energética (RCEE) visa a implementação de painéis fotovoltaicos em todos os prédio públicos próprios da prefeitura do Recife. A capital pernambucana foi selecionada para participar do ICLEI LEDS Lab, com o piloto para instalação de placas fotovoltaicas no Hospital da Mulher do Recife (HMR) apresentado  na Semana do Clima da América Latina e Caribe, em Salvador em 2019. O projeto contempla equipamentos públicos nas áreas da saúde, da educação, do esporte e no edifício-sede da Prefeitura. O orçamento total previsto do RCEE é de R$ 90 milhões sendo a instalação das placas fotovoltaicas no HMR orçada em R$ 10 milhões. Com payback previsto de 6 anos.Na saúde, o projeto contempla as Upinhas, as Unidades de Saúde da Família e o Hospital da Mulher do Recife (HMR). Esta última é a primeira unidade de saúde de grande porte construída numa gestão municipal, tendo 30 mil m2, 150 leitos e 12 especialidades médicas. Será justamente nela a primeira ação do projeto RCEE, representando o modelo de produção e consumo de energia a partir de fontes limpas e renováveis  e do enfrentamento à mudança climática.O projeto foi concebido em decorrência da projeção do aumento do consumo energético do Recife, com previsão de crescimento de até 88,4% entre os anos de 2014-2030. Como consumo de energia e emissão de gases de efeito estufa (GEE) estão diretamente relacionados, ou seja, mais consumo mais emissão. Estima-se um crescimento de 55,7% das emissões de GEE associadas a consumo energético na cidade. Segundo o último Inventário de GEE da Cidade do Recife, das emissões decorrentes do consumo de energia elétrica por parte do Governo Municipal, 23,7% são provenientes das edificações da administração pública. Diante de tais dados o projeto RCEE baseia suas diretrizes no Plano de Redução de Emissões de Gases do Efeito Estufa, desenvolvido entre 2013 e 2016 em conjunto pela PCR e pelo ICLEI.	1645727	2019	POINT (-34.8829 -8.05783)	2021-05-20T02:49:34.733
2020	31166	Jakarta City Government	Jakarta	Indonesia	Southeast Asia and Oceania	public	Yes	Local government operations	Energy	All energy produced (in MWh)	2017			2030					10557810	2020	POINT (106.865 -6.1751)	2021-05-20T02:49:34.733
2020	58413	City of Carmel, IN	Carmel	United States of America	North America	public	Intending to undertake in the next 2 years												93510	2018	POINT (-86.118 39.9784)	2021-05-20T02:49:34.733
2020	840918	Prefeitura de Pilões		Brazil	Latin America	public	Intending to undertake in the next 2 years												3838	2019		2021-05-20T02:49:34.733
2020	60337	Prefeitura de Quissamã		Brazil	Latin America	public	Intending to undertake in the next 2 years												20242	2010		2021-05-20T02:49:34.733
2020	841540	South Lakeland District Council		United Kingdom of Great Britain and Northern Ireland	Europe	public	In progress												104955	2019		2021-05-20T02:49:34.733
2020	54579	Sekhukhune District Municipality	Sekhukhune District Municipality	South Africa	Africa	public	Not intending to undertake												1076840	2011	POINT (29.974 -24.8335)	2021-05-20T02:49:34.733
2020	50364	Municipalidad de La Paz	La Paz (Bolivia)	Bolivia (Plurinational State of)	Latin America	public	Do not know												798	2017	POINT (-68.15 -16.5)	2021-05-20T02:49:34.733
2020	54687	Prefeitura Municipal de São José dos Campos	São José dos Campos	Brazil	Latin America	public	Do not know												729737	2020	POINT (-45.8783 -23.1848)	2021-05-20T02:49:34.733
2020	54517	City Örebro	Örebro	Sweden	Europe	public	Yes	Local government operations			2014	27000	21	2020	141000	100	59	The target covers own production of wind and solar energy. Örebro municipality has formed Kumbro wind AB together with Kumla municipality and Örebrobostäder (municipal company) has invested in own wind power. In addition, solar cells have been installed on municipal properties.	155696	2019	POINT (15.2066 59.2741)	2021-05-20T02:49:34.733
2020	60307	Prefeitura de Nova Friburgo		Brazil	Latin America	public	Do not know												182082	2010		2021-05-20T02:49:34.733
2020	3203	City of Chicago	Chicago	United States of America	North America	public	Yes	Local government operations	Electricity	All electricity consumed (in MWh)	2017	659856	0	2025	689165	100	14	The City set a goal of 100% renewable electricity for municipal buildings by 2025. To help achieve this goal the City has purchased Renewable Energy Credits to offset electricity consumption of applicable buildings.	2705994	2018	POINT (-87.6298 41.8781)	2021-05-20T02:49:34.733
2020	49327	City of Providence	Providence	United States of America	North America	public	Yes	Local government operations	Energy	All energy consumed (percentage)				2040		100		100% of municipal buildings’ heating will be renewable by 2040.	179883	2019	POINT (-71.4128 41.824)	2021-05-20T02:49:34.733
2020	35449	Stadt Zürich	Zürich	Switzerland	Europe	public	Yes	City-wide	Energy	Energy produced (percentage)	2005		15	2035		60	45	For the year 2035 the target is that renewable primary energy consumption represents 60% of total primary energy consumed in the base year.	434008	2019	POINT (8.53918 47.3686)	2021-05-20T02:49:34.733
2020	839970	San Justo (Argentina)	San Justo	Argentina	Latin America	public	Do not know												23943	2016		2021-05-20T02:49:34.733
2020	840923	Prefeitura de Nova Santa Rita		Brazil	Latin America	public	Intending to undertake in the next 2 years												29905	2020		2021-05-20T02:49:34.733
2020	50679	Município de Barreiro	Barreiro	Portugal	Europe	public	Yes	City-wide	Energy	All energy consumed (in MWh)	2008	0	0	2020	216828.4	20			78764	2011	POINT (-9.07907 38.6608)	2021-05-20T02:49:34.733
2020	834167	Kochi Municipal Corporation	KOCHI	India	South and West Asia	public	Intending to undertake in the next 2 years												601574	2011	POINT (76.2673 9.93123)	2021-05-20T02:49:34.733
2020	73645	KwaDukuza		South Africa	Africa	public	In progress												276719	2016		2021-05-20T02:49:34.733
2020	31111	Tokyo Metropolitan Government	Tokyo	Japan	East Asia	public	Yes	Local government operations	Electricity	All electricity consumed (percentage)				2030		100		Renewable power used at TMG facilities (Governor's bureaus/departments): 100%(ref. Zero Emission Tokyo Strategy, page27)	13951636	2020	POINT (139.41 35.41)	2021-05-20T02:49:34.733
2020	56276	New Taipei City Government	New Taipei	Taiwan, Greater China	East Asia	public	Yes	City-wide	Electricity	Total installed capacity of renewable electricity (in MW)	2018	27.8	0	2020	46.5	0.1	47	New Taipei City has started to shut off coal burning boiler since 2016 and replace with gas, and retired all the coal-fired boiler in 2018 and expect to complete the cogeneration module exit in 2020, heading towards the goal of zero-coal city.According to the national energy transition policy to implement our strategyDevelop solar PV (photovoltaic) system and other renewable energy by organizing an one-stop service.Percentage renewable electricity of total electricity accounts for a low proportion due to the earliest stage of development.	4018696	19	POINT (121.446 25.0111)	2021-05-20T02:49:34.733
2020	843399	Wandsworth Council		United Kingdom of Great Britain and Northern Ireland	Europe	public	Not intending to undertake												332500	2020		2021-05-20T02:49:34.733
2020	73725	Guaminí		Argentina	Latin America	public													11826	2010		2021-05-20T02:49:34.733
2020	60140	City of Nakuru	Nakuru	Kenya	Africa	public	In progress												2038945	2019	POINT (36.08 -0.30309)	2021-05-20T02:49:34.733
2020	841491	Muar Municipal Council		Malaysia	Southeast Asia and Oceania	public													281500	2018		2021-05-20T02:49:34.733
2020	54116	City of Dubuque	Dubuque	United States of America	North America	public	Intending to undertake in the next 2 years												57882	2019	POINT (-90.5071 42.5006)	2021-05-20T02:49:34.733
2020	31156	Municipality of Curitiba	Curitiba	Brazil	Latin America	public	Intending to undertake in the next 2 years												1893997	2016	POINT (-49.2647 -25.4311)	2021-05-20T02:49:34.733
2020	845308	Puerto Cortés		Honduras	Latin America	public	Intending to undertake in the next 2 years												122428	2013		2021-05-20T02:49:34.733
2020	54253	Wollongong City Council	Wollongong	Australia	Southeast Asia and Oceania	public	Intending to undertake in the next 2 years												216071	2018	POINT (150.893 -34.4278)	2021-05-20T02:49:34.733
2020	50565	City of Toledo	Toledo	United States of America	North America	public													287208	2010	POINT (-83.5552 41.6639)	2021-05-20T02:49:34.733
2020	831618	Yaoundé 4	Yaoundé 4	Cameroon	Africa	public	Yes	City-wide	Energy	All energy consumed (percentage)	2108	5.6	68.4	2026	16			5,37% utilisent l'électricité comme source d'énergie alternative pour la cuisson à Yaoundé IV en 2018. Parmi les 68,4 utilisant le GPL et les autres sources, 21,2% utilisent également le pétrole lampant comme source alternative de cuisson. La construction du méthaniseur industriel va renforcer l'utilisation de l'energie propre issue pour la cuisson dans les ménages	792546	2018	POINT (11.5167 3.8667)	2021-05-20T02:49:34.733
2020	50794	Prefeitura Municipal de Caieiras	Caieiras	Brazil	Latin America	public	Intending to undertake in the next 2 years												101470	2019	POINT (-46.7402 -23.3612)	2021-05-20T02:49:34.733
2020	848128	Ocú		Panama	Latin America	public	Yes	Local government operations	Electricity	All electricity consumed (in MWh)	2022	0.06	0.06	2050			10	actualmente el municipio de Ocú ha realizado los estudios preliminares para la instalación de un sistema de energía fotovoltaica que suministre electricidad al edificio de la alcaldía y a los principales parques del centro urbano del distrito de Ocú encaminado sustituir el suministro actual ya que el edificio de encuentra conectado a la red de suministro publico el cual presenta intermitencia e interrupciones constantemente, evidenciando el estado obsoleto de los sistemas de conexión  y alumbrados publico. se busca la autonomía energética en las instalaciones para a su vez, evitar la interrupción de labores por lata de electricidad.Esta iniciativa busca modernizar y replicar posteriormente este pito de sistemas en todas las comunidades que componen la municipalidad ocueña.	15539	2010		2021-05-20T02:49:34.733
2020	54124	City of Fremont	Fremont	United States of America	North America	public	Intending to undertake in the next 2 years												234237	2017	POINT (-121.989 37.5483)	2021-05-20T02:49:34.733
