Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	Climate hazard	Adaptation action	Action title	Status of action	Means of implementation	Co-benefit area	Sectors/areas adaptation action applies to	Action description and implementation progress	Finance status	Majority funding source	Currency used for reported financial information	Total cost of project	Total cost provided by the local government	Total cost provided by majority funding source	Web link	Population	Population Year	City Location	Last update
2020	55324	Município de Guimarães	Guimarães	Portugal	Europe	public	Wild fire > Forest fire	Biodiversity monitoring	Guimarães Mais Floresta	Operation	Awareness raising program or campaign; Education; Monitor activities; Stakeholder engagement	Disaster Risk Reduction; Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience	Agriculture and Forestry; Spatial Planning	O projeto Guimarães Mais Floresta é um projeto que pretende consciencializar para a temática da floresta autóctone e a importância da sua preservação, incluindo um enfoque em áreas temáticas como a natureza, a biodiversidade, os espaços verdes, a qualidade do ar, o ruído, as alterações climáticas, a paisagem e as técnicas agroflorestais, bem como áreas dos direitos cívicos de proteção e de criação de um meio natural mais diversificado, são e harmonioso.A missão do Guimarães Mais Floresta é a de (re)florestar as áreas do concelho contribuindo para promoção e proteção da Biodiversidade e da Floresta Autóctone, bem como promover a melhoria das áreas verdes do concelho.O Guimarães Mais Floresta pretende assim manter-se como um projeto transversal e integrado, pelo que a sua execução alcança um número extenso de objetivos, iniciando desde logo pela meta de duplicar o número de árvores autóctones a plantar no concelho, de 15.000 árvores para as 30.000 árvores, distribuídas por diferentes áreas.	Finance secured	Local	EUR Euro				https://www.labpaisagem.pt/guimaraes-mais-floresta/	152792	2018	POINT (-8.29224 41.4443)	2021-05-20T02:38:05.560
2020	56276	New Taipei City Government	New Taipei	Taiwan, Greater China	East Asia	public	Mass movement > Landslide	Soil retention strategies	Agricultural environment improvement project, construction and maintenance of river water conservancy and regional drainage improvement treatment project	Implementation	Infrastructure development	Disaster preparedness; Disaster Risk Reduction; Enhanced climate change adaptation; Enhanced resilience	Agriculture and Forestry; Water	1. Increase planting coverage, prevent collapse, and inhibit soil and stone conservation from the upstream to achieve conservation of land and water resources.2. Implement river environment construction, improvement and construction, strengthen flood control in flood-prone areas, and construct, inspect and manage water conservancy structures.	Feasibility finalized, and finance partially secured	(Sub)national	TWD New Taiwan Dollar	138903000	135162000	135162000	https://www.ntpc.gov.tw/ch/home.jspid=e8ca970cde5c00e1&dataserno=6d40da4b0e0c29b24be97ee9660e9116	4018696	19	POINT (121.446 25.0111)	2021-05-20T02:38:05.560
2020	50551	City of Long Beach	Long Beach	United States of America	North America	public	Extreme hot temperature > Extreme hot days	Heat mapping and thermal imaging	Urban Heat Island Effect Vulnerability Map	Implementation complete but not in operation		Disaster preparedness; Enhanced climate change adaptation; Enhanced resilience; Improved access to data for informed decision-making; Improved public health		Heat mapping is included in the Long Beach Vulnerability Assessment completed in preparation for the Climate Action and Adaptation Plan. The map shows hotspots in Long Beach that are susceptible to temperatures higher than the mean daily temperature during summer months under current conditions. The map shows areas that are likely to experience more frequent and intense heat waves in the future as a result of climate change.			USD US Dollar				http://longbeach.gov/globalassets/lbds/media-library/documents/caap/caap-open-house-vulnerability-maps-06022018_kw1-reduced	470130	2017	POINT (-118.194 33.7701)	2021-05-20T02:38:05.560
2020	13067	City of New Orleans	New Orleans	United States of America	North America	public	Extreme hot temperature > Extreme hot days	Projects and policies targeted at those most vulnerable		Operation				During extreme heat days, the city sets up cooling shelters to reduce the impacts on vulnerable populations.	Finance secured	Local	USD US Dollar	0			General operating costs for city-owned building	390144	2019	POINT (-90.0715 29.9511)	2021-05-20T02:38:05.560
2020	54337	Greater Amman Municipality	Amman	Jordan	Middle East	public	Extreme hot temperature > Heat wave	Resilience and resistance measures for buildings	Amman Green Building Density Bonus	Operation	Other, please specify: Incentives and waived fees	Enhanced climate change adaptation; Enhanced resilience; Improved resource efficiency (e.g. food, water, energy); Reduced GHG emissions; Shift to more sustainable behaviours	Building and Infrastructure	Green building has been slow to build market share in Amman because of cost concerns, to date only 10 buildings have received green building certification in Jordan. The government of Amman is constrained in acting, as building codes and policies are set at the national level.The city focused on encouraging participation in green building through avoluntary density bonus program linked to the Jordan Green Building Guide published in 2013 by the Jordan Green Buildings Council. Certified green buildings are totally or partially exempt from fees according to Amman's Buildings and zoning law in 2019. The incentive provides a ‘Density Bonus’ in the form of an additional percentage to the original floor area ratio (FAR). As an additional incentive, building applications are free of charge.	Finance secured	Other, please specify: Own resources	JOD Jordanian Dinar				pg. 29 Amman Climate Action Planhttps://www.ammancity.gov.jo/site_doc/climate.pdf	3800000	2018	POINT (35.9284 31.9454)	2021-05-20T02:38:05.560
2020	848567	Mid-America Regional Council		United States of America	North America	public	Extreme hot temperature > Extreme hot days	Other, please specify: Vulnerability Mapping	Heat-related Socioeconomic  Vulnerability Mapping	Operation	Assessment and evaluation activities; Education	Enhanced climate change adaptation; Improved access to data for informed decision-making; Improved public health; Improved resource quality (e.g. air, water)	Building and Infrastructure; Energy; Social Services; Spatial Planning	As part of the CRVA, we conducted a map-based population vulnerability assessment,  including  regional socioeconomic stress, flooding related to socioeconomic stress, tornado-related socioeconomic stress, and heat-related socioeconomic stress.  Each separate assessment used a different set of vulnerability indicators.  The heat-related vulnerability mapping  included evaluation of the following indicators: disabled population, zero-vehicle households, population below 200% of poverty, population 65 and over living alone, more than 1 occupant per room, and households built prior to 1960. Additionally urban heat indicators (tree canopy coverage and impervious land cover) were evaluated and overlaid on the heat-related socioeconomic data to reveal Census tracts that include communities that are likely to experience greater stress from extreme heat events but also those who communities who may have more exposure to urban heat.  This data will help local government in our region mitigate the potential impacts or extreme heat and build resilience for these heat vulnerable communities.	Seeking funding	Other, please specify: Donations	USD US Dollar	0	0	0	https://arcg.is/fvT5u	2137829	2018		2021-05-20T02:38:05.560
2020	59165	Gladsaxe Kommune	Gladsaxe	Denmark	Europe	public	Flood and sea level rise > Flash / surface flood	Storm water capture systems	Climate adaptation projects	Implementation	Infrastructure development; Policy and regulation	Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience	Building and Infrastructure; Industry; Public Health and Safety; Spatial Planning; Water	Planning and implementation of different kinds of climate adaptation solutions by the utility (tunnels, basins, sewer separation from roads etc.)See a full list of projects 2019 in the attached Adaption Action Plan 2019.	Finance secured	Other, please specify: The local water supply company Novafos funds the projects. But it is the 69,000 citizens of Gladsaxe Municipality who, through tariffs, pay for the projects Novafos carries out.	DKK Danish Krone	133600000	0	133600000		69262	2019	POINT (12.4887 55.7335)	2021-05-20T02:38:05.560
2020	50543	Halifax Regional Municipality	Halifax	Canada	North America	public	Storm and wind > Storm surge	Restrict development in at risk areas	Flood Mapping Project	Operation	Assessment and evaluation activities; Awareness raising program or campaign; Development and implementation of action plan; Education; Infrastructure development; Policy and regulation	Enhanced resilience	Other, please specify: Community Resilience; Social Services	In accordance with Policy E-22 of HRM's Regional Plan (2014), all coastal land use bylaws have been amended to incorporate provisions restricting residential developments on the coast to a minimum height of 3.8 m above the Canadian Geodetic Vertical Datum 1928 (CGVD 28). These provisions are intended to account for the public safety risk associated with storm surges in coastal environments. The forthcoming Centre Plan will adjust this minimum height restriction to 3.2 m above the latest 2013 version of the CGVD.	Finance secured	Other, please specify: Federal government - National Disaster Mitigation Program	CAD Canadian Dollar	2400000	1247430	1152570	https://www.halifax.ca/home/open-data/open-data-files	421939	2017	POINT (-63.5714 44.6478)	2021-05-20T02:38:05.560
2020	50368	Municipalidad de Provincial de Arequipa	Arequipa	Peru	Latin America	public	Extreme Precipitation > Rain storm	Incorporating climate change into long-term planning documents	Sistema de infraestructura e información frente a inundaciones para la ciudad de Arequipa	Scoping		Disaster Risk Reduction; Enhanced resilience		There are no implemented measures, only the CAF initiative of a conceptual note to apply to the funds of the Green Climate Fund (2018).	Pre-feasibility/impact assessment study status	Local	PEN Nuevo Sol					1009132	2017	POINT (-75.329 -11.0557)	2021-05-20T02:38:05.560
2020	73667	San Rafael de Heredia		Costa Rica	Latin America	public	Mass movement > Landslide	Restrict development in at risk areas	Realización de líneas bases de los cuerpos de agua dentro del cantón.	Other, please specify: Se realizaron dos estudios en dos ríos, y actualmente se esta coordinando salidas de campo conjuntas con el Ministerio de Salud y el SINAC.	Stakeholder engagement	Reduced GHG emissions	Waste; Water	Se realizaron dos estudios en donde se incluyeron los parámetros como  DBO, DQO, coliformes fecales así como un estudio de macroinvertebrados en el rio Burío- Quebrada Seca  y en el Rio Bermúdez.	Seeking funding	Local	CRC Costa Rican Colon	20000000	5000000	5000000	Estos estudios se realizan por año, motivo por el cual los 5 000000 representan la realización de un estudio para el año 2021. Dichos estudios se estarán realizando todos los años.	55269	2020		2021-05-20T02:38:05.560
2020	834278	Municipality of Resistencia		Argentina	Latin America	public	Flood and sea level rise > Permanent inundation	Incorporating climate change into long-term planning documents	Plan de Ordenamiento Territorial (POT 2040)	Pre-implementation		Disaster preparedness; Disaster Risk Reduction; Enhanced climate change adaptation; Enhanced resilience; Greening the economy; Improved access to data for informed decision-making; Improved resource security (e.g. food, water, energy); Social community and labour improvements; Social inclusion, social justice		La visión del Plan de Ordenamiento Territorial es proveer un horizonte deseable que oriente las metas del Plan de Desarrollo y Ordenamiento Territorial. Expresa de forma cualitativa y multidimensional el futuro deseado del territorio. Opera como un punto de inflexión entre el diagnóstico y las propuestas del plan. Los proyectos se pueden encausar por líneas estratégicas como: 1.Integración Territorial 2. Sostenibilidad del Ambiente Natural 3. Hábitat Social y Vivienda 4. Consolidación, Densificación, Expansión y Conectividad 5. Descentralización, Movilidad y Espacios Verdes 6. Cultura, Turismo y Patrimonio Edilicio y Humano 7. Economía, Comercio y Empleo 8. Planificación y Gestión Territorial	Pre-feasibility/impact assessment study status	Local	USD US Dollar	39936.1	39936.1	39963.1		305461	2018		2021-05-20T02:38:05.560
2020	50357	Ciudad de Mendoza	Mendoza	Argentina	Latin America	public	Water Scarcity > Drought	Community engagement/education	Soberanía alimentaria y huerta	Implementation	Awareness raising program or campaign; Capacity building and training activities; Education; Stakeholder engagement	Disaster preparedness; Enhanced climate change adaptation; Enhanced resilience; Improved resource efficiency (e.g. food, water, energy); Social inclusion, social justice	Energy; Spatial Planning; Transport (Mobility)	La Municipalidad de Ciudad de Mendoza trabaja en conjunto con el Instituto Nacional de Tecnología Agropecuaria (INTA) a través de su Programa Pro Huerta. Desde fines del año 2017 se han llevado a cabo actividades en comunidades vulnerables social y económicamente principalmente, ofreciendo capacitaciones, acompañamiento técnico y recursos físicos tales como semillas y herramientas, para concretar la creación de huertas comunitarias en ámbitos barriales, así como escolares. También se ofrecieron hasta la actualidad capacitaciones y semillas para vecinos del departamento interesados en contar con su huerta familiar domiciliaria.			ARS Argentine Peso					115041	2010	POINT (-68.8458 -32.8894)	2021-05-20T02:38:05.560
2020	50549	City of Fort Worth	Fort Worth	United States of America	North America	public	Extreme hot temperature > Heat wave	Air quality initiatives	Air North Texas, Ozone Action Days and Commuter Benefits	Monitoring and reporting	Awareness raising program or campaign; Financial mechanism; Monitor activities	Improved public health; Improved resource efficiency (e.g. food, water, energy); Improved resource quality (e.g. air, water); Reduced GHG emissions; Shift to more sustainable behaviours	Energy; Public Health and Safety; Transport (Mobility)	The city partners with the North Central Texas Council of Governments to promote Air North Texas campaigns on ozone and air quality, including Clean Air Action Day. These initiatives target individuals, businesses and local governments to take action to reduce ozone. The city sends out alerts to staff when there are poor air quality conditions and incentivizes behaviors by offering prizes for those who document their actions. The city incentivizes taking public transit and other behaviors that reduce ozone by offering compensatory time. The city also provides passes for public transit to employees.	Finance secured	Local	USD US Dollar				https://www.airnorthtexas.org/	909585	2019	POINT (-97.3308 32.7555)	2021-05-20T02:38:05.560
2020	43912	City of Edmonton	Edmonton	Canada	North America	public		Incorporating climate change into long-term planning documents	The City of Edmonton in partnership with community stakeholders develops and integrates climate adaptation and resilience standards into urban and strategic planning design, and development approval processes	Implementation	Capacity building and training activities; Development and implementation of action plan; Policy and regulation; Stakeholder engagement	Enhanced climate change adaptation; Enhanced resilience; Improved access to and quality of mobility services and infrastructure; Improved access to data for informed decision-making; Reduced GHG emissions	Building and Infrastructure; Spatial Planning; Transport (Mobility)	Integration of climate adaptation and resilience into City Plan and Zoning bylaw updates. Continuing implementation of Breathe: Green Network Strategy, the Ribbon of Green strategy, and the Natural Connections Strategic Plan to adapt to long term climate changes. Develop planning tools to integrate climate change resilience into planning processes. Integrate climate resilience into development permitting and approval processes. Identify priority considerations for building code updates.	Feasibility undertaken	Local	CAD Canadian Dollar	30000			https://www.edmonton.ca/city_government/initiatives_innovation/breathe.aspx  https://www.edmonton.ca/city_government/initiatives_innovation/ribbon-of-green.aspx   https://www.edmonton.ca/city_government/documents/PDF/CityPlan_ClimateVulnerabilityAssessment.pdf	972223	2019	POINT (-113.491 53.5444)	2021-05-20T02:38:05.560
2020	73749	Nagpur		India	South and West Asia	public	Extreme hot temperature > Extreme hot days	Tree planting and/or creation of green space	Tree plantation	Operation		Enhanced climate change adaptation; Improved resource quality (e.g. air, water); Reduced GHG emissions		About 80000 trees are planted this year from which about 55000 plants survived.	Finance secured	Local	INR Indian Rupee	5000000	1000000			2405665	2011		2021-05-20T02:38:05.560
2020	35883	City of San José	San José, CA	United States of America	North America	public	Flood and sea level rise > River flood	Flood defences – development and operation & storage	Upper Guadalupe River Construction Project	Implementation	Infrastructure development	Disaster Risk Reduction; Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience; Improved resource quality (e.g. air, water); Resource conservation (e.g. soil, water)	Building and Infrastructure; Public Health and Safety; Water	The Upper Guadalupe River Construction Project is a flood damage reduction and recreation project of the US Army Corps of Engineers located in the City of San Jose, Santa Clara County, California. This project begins at Interstate Highway 280, at the edge of downtown San Jose, and extends south for approximately 5.5 miles, upstream from the Downtown Guadalupe River Project. The proposed project utilizes a combination of bypass channels, floodwalls, and channel widening to achieve flood damage reduction while restoring protected salmonid species habitat. Since 1982, the Guadalupe River has flooded five times, most recently in 1998 and more notably in 1995, when flood waters submerged 150 homes near Alma Avenue and Virginia Street. The project will protect 12,000 parcels and can potentially save millions of dollars in flood damage and void the need for homeowners to carry flood insurance upon completion of the entire Upper Guadalupe River Project.	Feasibility finalized, and finance partially secured	(Sub)national	USD US Dollar	297000000	0	192000000	https://www.spn.usace.army.mil/Missions/Projects-and-Programs/Projects-by-Category/Projects-for-Flood-Risk-Management/Upper-Guadalupe-River/	1046079	2017	POINT (-121.886 37.3382)	2021-05-20T02:38:05.560
2020	73668	Malabrigo		Argentina	Latin America	public	Extreme Precipitation > Rain storm	Storm water capture systems	Planta recuperadora de aguas pluviales	Operation		Enhanced climate change adaptation; Enhanced resilience; Improved resource efficiency (e.g. food, water, energy); Improved resource security (e.g. food, water, energy); Shift to more sustainable behaviours; Social community and labour improvements		El Municipio construyó en la zona rural en cercanías de la planta de tratamiento del sistema cloacal una Planta Recuperadora de Aguas Pluviales (9.000 m3 mensuales), puesta en funcionamiento en 2011, que permite encausar los excedentes hídricos y recuperarlos en una planta a cielo abierto para su uso urbano. Se considera su ampliación futura con un proyecto de importancia para el municipio. En el documento Directrices de Ordenamiento Urbano Territorial para Malabrigo se avanza tanto sobre su ampliación como en implementación de otros mecanismos que disminuyan la impermeabilización de la planta urbana. Además, en el Anteproyecto de Ordenanza Plan para el Ordenamiento Urbano se ha introducido el FIS como indicador de la permeabilidad de cada predio	Feasibility finalized, and finance partially secured		ARS Argentine Peso					7620	2018		2021-05-20T02:38:05.560
2020	54305	Rajkot Municipal Corporation		India	South and West Asia	public	Extreme Precipitation > Monsoon	Projects and policies targeted at those most vulnerable	Rejuvenation of existing natural drains	Pre-implementation		Disaster preparedness; Disaster Risk Reduction; Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience; Improved public health; Improved resource efficiency (e.g. food, water, energy); Improved resource quality (e.g. air, water); Improved resource security (e.g. food, water, energy); Job creation; Resource conservation (e.g. soil, water); Shift to more sustainable behaviours; Social community and labour improvements; Social inclusion, social justice		Natural drains are being used for waste water and solid waste dumping, degraded environmental condition leads to severe health issues . Rejuvenated natural drains may be utilise for effective storm water management in city. Intervention has potential to reduce health hazards due to degraded environmental quality			INR Indian Rupee					1597081	2016		2021-05-20T02:38:05.560
2020	36286	Comune di Ferrara	Ferrara	Italy	Europe	public		Hazard resistant infrastructure design and construction	Adaptpl	Scoping		Enhanced climate change adaptation; Enhanced resilience; Improved access to and quality of mobility services and infrastructure; Improved public health		It is planned to evaluate the integration in the future PUMS of a section dedicated to adaptation toclimate change, also in collaboration with the local public transport manager.According to literature, adaptation measures in the urban transport sector can be grouped into three categories: operations and management (alternative routes, behavioral change for the reduction of congestion, adaptation of maintenance cycles to infrastructure repair periods); infrastructure investments (pumps, barriers, roads); policy (include climate assessments in service or facility planning).One of the best practices with a positive impact on the health aspect is the rethinking of constructive logic of public transport stops to cope with the effect of the urban heat island and extreme event. In Australia, an ideas competition (CAPS) dedicated to the city of Sydney and funded by public was won by a project that provides self-ventilated structure, shading panels, cover with draining effect, modulating LED lights and adaptable seats to improve ventilation and visibility of passengers.Panasonic is about to market an air-conditioned shelter with Green Air technology Conditioner, a new type of conditioning that works even in open spaces thanks to a fresh air barrier (actually it is nebulized water), which prevents the hot air coming from outside of enter the conditioned environment. The roof consists of cells that block the sun's rays but leave pass the air, giving an effect similar to that of the light that filters through the leaves of the trees. The paving instead is able to retain excess water, helping to create a fresher and more pleasant environment.	Pre-feasibility/impact assessment study status		EUR Euro					132009	2018	POINT (11.619 44.8357)	2021-05-20T02:38:05.560
2020	834403	Municipality of San Martín de los Andes		Argentina	Latin America	public	Water Scarcity > Drought	Community engagement/education	Prevención de vectores	Implementation		Disaster preparedness; Disaster Risk Reduction; Enhanced climate change adaptation; Enhanced resilience; Improved public health; Social community and labour improvements; Social inclusion, social justice		Desarrollo de campañas de sensibilización mediante información fiable hacia el turista, el poblador local y los medios de comunicación nacionales.	Feasibility undertaken		USD US Dollar					37078	2018		2021-05-20T02:38:05.560
2020	847236	Ramona		Argentina	Latin America	public	Extreme hot temperature > Heat wave	Tree planting and/or creation of green space	Vivero Comunal	Implementation	Infrastructure development; Stakeholder engagement	Greening the economy	Social Services	Conservación, criado y reproducción de especies ornamentales, aromáticas y forestales y verduras de consumo.Provee plantines florales de estación para inmuebles comunales y en él funciona un emprendimientohidropónico.	Finance secured	Local	USD US Dollar	3675	3675	3675		2118	2016		2021-05-20T02:38:05.560
2020	54265	City of Newcastle	Newcastle	Australia	Southeast Asia and Oceania	public	Wild fire > Land fire	Incorporating climate change into long-term planning documents	Bush Fire Prone Land mapping	Monitoring and reporting	Awareness raising program or campaign; Development and implementation of action plan; Education	Disaster preparedness; Disaster Risk Reduction; Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience; Improved public health			Finance secured	Local	AUD Australian Dollar				https://www.newcastle.nsw.gov.au/development/building-construction/bushfire-prone-land	165571	2019		2021-05-20T02:38:05.560
2020	54075	City of Lakewood	Lakewood	United States of America	North America	public	Extreme Precipitation > Heavy snow	Public preparedness (including practice exercises/drills)	Community Emergency Response Team Training	Operation	Awareness raising program or campaign; Capacity building and training activities	Disaster preparedness; Enhanced resilience; Improved public health; Shift to more sustainable behaviours; Social community and labour improvements; Social inclusion, social justice	Public Health and Safety; Social Services	The City offers Community Emergency Response Team Training for extreme storms and other emergencies as a program of the Emergency Manager's office.	Finance secured	Local	USD US Dollar				https://www.lakewood.org/Police/Emergency-Preparedness	156500	2019	POINT (-105.081 39.7047)	2021-05-20T02:38:05.560
2020	31186	Changwon City	Changwon	Republic of Korea	East Asia	public	Extreme Precipitation > Rain storm	Crisis management including warning and evacuation systems		Implementation				In accordance with the national weather service, when rain storm is predicted the city conducts inspections on vulnerable areas and organizing and running evacuation teams consists of city officials. But we still need to improve evacuation system.			KRW South Korean Won					1072657	2017	POINT (126.949 35.1542)	2021-05-20T02:38:05.560
2020	14344	City of Park City, UT	Park City	United States of America	North America	public	Wild fire > Forest fire	Resilience and resistance measures for buildings	Park City Fire District Wood Chipping Service	Operation		Disaster Risk Reduction; Enhanced climate change adaptation		Scope: During the summer the Park City Fire Department will chip 6'x6'x6' piles of wood for free for residences within the fire district.Timescale: Monday-Thursday throughout the summer, ongoing annual projectCurrent Status of Implementation: Ongoing, In progress for 2019Barriers to Implementation: Residents must register their piles to be chipped. Any dirt, wire, and construction debris will damage the chipping machine. This results in delays as the machine is taken out of service for repairs.Collaborators: Local Home Owners Associations (HOAs)Projected Impact on Hazard:This is an effort to reduce burnable fuels near homes.Cost: Estimated yearly costs reported. The program is completely funded by the Park City Fire Department, which is separate from Park City Municipal.	Finance secured	Local	USD US Dollar	20000	0		https://www.pcfd.org/fire-prevention/wood-chipping/	8376	2016	POINT (-111.498 40.6461)	2021-05-20T02:38:05.560
2020	31156	Municipality of Curitiba	Curitiba	Brazil	Latin America	public	Extreme Precipitation > Rain storm	Hazard resistant infrastructure design and construction	Gestão de Risco Climática do Bairro Novo do Caximba	Pre-implementation	Infrastructure development; Stakeholder engagement	Disaster Risk Reduction; Ecosystem preservation and biodiversity improvement; Enhanced climate change adaptation; Enhanced resilience; Resource conservation (e.g. soil, water)	Building and Infrastructure; Spatial Planning; Waste; Water	Em Curitiba, no bairro Caximba, em 2010, às margens do Rio Barigui, em área de proteção, controle ambiental e drenagem natural do rio, denominada Área de Proteção Ambiental Municipal do Iguaçu, teve início um processo de ocupação irregular que foi denominado Vila 29 de Outubro, data do início da ocupação. No período de 2010 a 2017 a ocupação expandiu e foi se consolidando a partir de aterro ilegal de antigas cavas resultados da extração de areia e com material contaminado e resíduos da construção civil apresentando em dezembro de 2017, 1693 domicílios, em condições precárias, construídas de material aproveitado (compensados e lonas, e outros, de baixa qualidade). A maioria da população é composta de mulheres (57%); prevalecendo 70% delas como responsáveis pelos domicílios, sendo a maioria com filhos e sem cônjuge ou companheiro. Com relação à faixa etária 33% estão na faixa de 0 a 15 anos, e 6,7% estão na faixa acima de 60 anos. Quanto à renda 22,4% das famílias não possuem renda e 60,9% possuem renda familiar bruta de até R$ 1.800,00, ou seja, 84% das famílias possuem renda de até R$ 1.800,00.Objetivando atenuar as extremas condições de vulnerabilidade socioambiental verificadas, iniciou um robusto conjunto de ações integrando diversas áreas setoriais, a comunidade e a sociedade civil organizada, que culminaram na elaboração do Projeto Gestão de Risco Climático Bairro Novo do Caximba. O Projeto propõe alternativas para desenvolver a resiliência local e promover a adaptação à mudança do clima, especialmente com relação a inundações, bem como atuar no processo de ocupação nessa área de vulnerabilidade ambiental e socioeconômica. As medidas estruturais da proposta são:Macrodrenagem e Recuperação Ambiental: liberação da área de risco com a retirada e reassentamento de 1147 domicílios da área de proteção permanente e sujeita à inundação, para as novas unidades habitacionais a serem construídas; recomposição do corredor ecológico ao longo do rio; implantação de bacias de espraiamento e contenção de cheias, apropriadas ao espraiamento do Rio Barigui; construção de talude/dique e canal de macrodrenagem para contenção de cheias, delimitando a área de recuperação ambiental da área a ser urbanizada; implantação de Parque Linear acessível à população, no platô do talude, com áreas de estar para o convívio comunitário, equipamentos de esporte e lazer, como ciclovia e quadras esportivas, centro de Capacitação e Convívio para a comunidade; além do esporte e lazer, como alternativa de desenvolvimento social e econômico, inédito em Curitiba, estão previstas no parque áreas destinadas ao plantio de flores, como alternativa de geração de renda para a comunidade. Infraestrutura Urbana, Social e Equipamentos Públicos: acesso da população a condições adequadas de infraestrutura viária, esgoto, abastecimento de água, rede de energia elétrica e construção de moradias; garantia de atendimento nas áreas de educação, saúde e assistência social com a construção, reforma e ampliação de equipamentos que atenderão à população da 29 de Outubro e entorno.	Finance secured	International (ODA)	BRL Brazilian Real	291500000	58300000	233200000	https://www.curitiba.pr.gov.br/noticias/presidente-encaminha-financiamentos-de-curitiba-ao-senado/56474	1893997	2016	POINT (-49.2647 -25.4311)	2021-05-20T02:38:05.560
2020	848474	Richmond Council		United Kingdom of Great Britain and Northern Ireland	Europe	public	Flood and sea level rise > Flash / surface flood	Flood mapping	Identifying flooding threats and improving our flooding resilience	Pre-implementation	Assessment and evaluation activities; Awareness raising program or campaign; Development and implementation of action plan; Policy and regulation; Stakeholder engagement	Disaster preparedness; Disaster Risk Reduction; Enhanced resilience; Improved access to data for informed decision-making; Improved public health; Social inclusion, social justice	Building and Infrastructure; Business and Financial Service; Public Health and Safety; Social Services; Spatial Planning; Transport (Mobility); Water	Numbering refers to numbers within our action plan:(171)Update the Strategic Flood Risk Assessment so we have up to date evidence on flood risk for the borough (172) Identify the most vulnerable people in the areas most at risk of flooding from climate change(173) Update Local Flood Risk Management Strategy(169)Use our Local Plan to apply planning solutions to flood risk management wherever possible by steering vulnerable development away from areas affected by flooding in accordance with the NPPF Sequential Test. (170) Through decision making on planning applications, promote and encourage development to be fully resilient to the future impacts of climate change in order to minimise vulnerability of people and property(166 and 167) Promote green infrastructure as playing a critical role in increasing London’s capacity to adapt to climate change, (e.g. during droughts, heatwaves, heavy rainfall events etc) and adopt new approaches to the design and management of green space (i.e. drought resistant vs native plants etc.)(183) Provide Sustainable Drainage Systems (SuDS) using identified funding from Thames Water(180) Work closely with the South West London Flood Group, the Environment Agency, the Local Resilience Forum and the Drain London Forum on flooding developments (181) Ensure that Richmond is complying with its Lead Local Flood Authority duties and responsibilities(182) Maintain and improve good working relationships and collaboration with external organisations to help maintain the quality of our local waterwaysSee also our Local Plan which requires that: A Flood Risk Assessment will be required for all developments, including extensions and conversions, in areas at risk from flooding (this also includes other sources of flooding, not just river flooding), and for sites greater than 1 hectare in low risk areas (zone 1)	Finance secured	Local	GBP Pound Sterling				https://cabnet.richmond.gov.uk/documents/s82601/Richmond%20CES%20Actions%20ESCS%2013th%20Jan.pdf Local Plan: Local Plan:   https://www.richmond.gov.uk/local_plan	199100	2020	POINT (-0.32574 51.448)	2021-05-20T02:38:05.560
2020	53879	City of Jersey City	Jersey City	United States of America	North America	public											USD US Dollar					261746	2018		2021-05-20T02:38:05.560
2020	839967	Malargue	Malargue	Argentina	Latin America	public	Flood and sea level rise > Flash / surface flood	Maintenance/repair – leaking infrastructure	Relleno de terrenos debajo del nivel apropiado.	Implementation		Disaster preparedness; Disaster Risk Reduction; Enhanced climate change adaptation; Enhanced resilience; Social community and labour improvements; Social inclusion, social justice		La Municipalidad a partir del año 2017, comenzó con el relleno de algunos sitios del Arroyo en Pequenco para evitar el desborde en caso de lluvias y la acumulación agua en lugares que están bajo los niveles apropiados. Se prevé continuar con esta acción.	Feasibility undertaken		USD US Dollar					32006	2018		2021-05-20T02:38:05.560
2020	16581	City of Seattle	Seattle	United States of America	North America	public	Extreme hot temperature > Heat wave	Cooling centers, pools, water parks/plazas	Cooling Centers	Implementation		Enhanced resilience; Improved public health; Social inclusion, social justice		We have a list of cooling centers distributed throughout the city and multi-lingual messaging during heat waves advises residents of the risks and available cooling centers.		Local	USD US Dollar					704352	2016	POINT (-122.332 47.6062)	2021-05-20T02:38:05.560
