Year Reported to CDP	Account Number	Organization	City	Country	CDP Region	Access	City boundary	Type of target	Sector	Identify and explain sources that differ from the inventory	Target boundary relative to city boundary	Base year	Year of target introduction	Base year emissions (metric tonnes CO2e)	Percentage reduction target	Target year	Target year absolute emissions (metric tonnes CO2e)	Projected population in target year	Intensity unit (Emissions per)	Base year emissions per intensity unit (metric tonnes CO2e per denominator)	Estimated business as usual absolute emissions in target year (metric tonnes CO2e)	Percentage of target achieved so far	Select the initiatives that this target contributes towards	Description of the target and the modelling methodology(ies) and parameters used to define it	Does this target align with the global 1.5 - 2°c pathway set out in the Paris Agreement?	Does this target align or correspond to a requirement from a higher level of government?	Target description	Population	Population Year	City Location	Last update
2020	54360	Shah Alam City Council		Malaysia	Southeast Asia and Oceania	public	City / Municipality	Base year emissions (absolute) target	Transport	The council has set a target for the Public Transport that is under its control and operation in that there will fuel related cost savings of 69% while maintenance costs would be reduced by 64%.  At the same time, all transport related emissions are to be reduced by 6% come 2030.	Smaller – covers only part of the city	2015	2030	3289		2030						42.41			Do not know	Yes	Shah Alam has a zero waste policy where it intends to reduce waste consumption by 30% come 2030. The council also intends to amp up its recycling rate to 25 % where currently the highest level nationally is about 40%.	671200	2019		2021-05-20T02:33:48.460
2020	57616	City of Lake Forest, IL	Lake Forest	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2007	2015	402364	20	2030	321891.2								Do not know	Do not know	The City of Lake Forest signed the U.S. Conference of Mayors Climate Protection Agreement in 2015 committing the City to reduce GHG emissions to 7% below 1990 levels by the year 2030. After determining the 2007 baseline emissions of 402,364 tons (Scope 1 + 2 + 3), we estimate the City’s emissions in 1990 to have been approximately 357,000 tons assuming a 0.71% CAGR over the 17-year period. The committed 7% reduction below 1990 levels is therefore a 20% reduction below business-as-usual emissions. The City of Lake Forest’s Green Team will build on this information to evaluate options for achieving these aggressive reductions and to potentially develop a revised target which reflects accomplishments since 2007 and the feasibility of initiatives to further reduce energy usage and emissions by 2020.	19446	2019	POINT (-87.8406 42.2586)	2021-05-20T02:33:48.460
2020	35883	City of San José	San José, CA	United States of America	North America	public	City / Municipality	Fixed level target	All emissions sources included in city inventory		Same – covers entire city and nothing else		2018			2040	1700000	1379108				23	Global Covenant of Mayors for Climate & Energy		Yes - 2 °C	Yes, but it exceeds its scale or requirement	PricewaterhouseCoopers, the consultants who developed the Climate Smart San Jose plan, estimated the emissions reductions needed for San Jose to align with the California state emissions reductions requirements set out in AB32 and SB32 (EO-S-3-05 and EO-B-30-15). These targets are based on percentage reductions from 1990 emissions levels. Using an estimate of 1990 citywide greenhouse gas emissions, they thus estimated that we would need to reduce emissions to 2 million MT CO2e by 2040 to align with the state targets. Our 2040 goal of 1.7 million MT CO2e is slightly more ambitious than this.We are currently working on our first citywide GHG inventory since the adoption of the Climate Smart San Jose plan and these goals. Percentage of target achieved was calculated based on emissions reductions from 2014 to 2017 (the years of our last two GHG inventories).	1046079	2017	POINT (-121.886 37.3382)	2021-05-20T02:33:48.460
2020	68378	Municipalidad de Santiago de Surco	Santiago de Surco	Peru	Latin America	public	City / Municipality	No target																				499210	2015	POINT (-77.0051 -12.1453)	2021-05-20T02:33:48.460
2020	31185	City of Warsaw	Warsaw	Poland	Europe	public	City / Municipality	Base year emissions (absolute) target																				1769529	2018	POINT (21.0122 52.2297)	2021-05-20T02:33:48.460
2020	60337	Prefeitura de Quissamã		Brazil	Latin America	public	City / Municipality	No target																				20242	2010		2021-05-20T02:33:48.460
2020	46470	Ayuntamiento de Vitoria-Gasteiz	Vitoria-Gasteiz	Spain	Europe	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Larger – covers the whole city and adjoining areas	2006	2010	841068	25.7	2020	624913.524					52	Global Covenant of Mayors for Climate & Energy		Do not know	Yes, but it exceeds its scale or requirement	Para todas las fuentes de emisión contempladas en el inventario, se estableció una meta de reducción del 25,7% en 2020 en relación a las emisiones en 2006.	252574	2019	POINT (-2.67 42.84)	2021-05-20T02:33:48.460
2020	848133	Villa Gobernador Gálvez		Argentina	Latin America	public																									2021-05-20T02:33:48.460
2020	56276	New Taipei City Government	New Taipei	Taiwan, Greater China	East Asia	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory	Our GHG emission reduction plan does not include scope 3, and incorporates carbon sinks.	Same – covers entire city and nothing else	2005	2018	20200278.72	25	2030	15150209.04					15	Other, please specify: Powering Past Coal Alliance, PPCA. Through the cooperation of local governments and organizations in different countries, jointly shut down the old coal-burning power plants, stop using coal and transform into clean energy.		Yes - 2 °C	Yes	Mid-term goal (in 2030)Decreasing 25% less than the baseline (2005).Long-term goal (in 2050)Decreasing 50% less than the baseline (2005).	4018696	19	POINT (121.446 25.0111)	2021-05-20T02:33:48.460
2020	19233	Município de Torres Vedras	Torres Vedras	Portugal	Europe	public	City / Municipality	Base year emissions (absolute) target				2009			29	2020											Torres Vedras SEAP is an integrated plan to reduce emissions of the community and local government operations, the amount provided for emission reduction is a global value. In the plan are set 61 actions for the community and the local government operations.	79465	2011	POINT (-9.30148 38.7637)	2021-05-20T02:33:48.460
2020	43914	City of Charlotte	Charlotte	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory	Our 2050 target is city-wide.	Same – covers entire city and nothing else	2015	2018	2015	85	2050	302.25					0	Global Covenant of Mayors for Climate & Energy		Yes - 1.5 °C	No	In June 2018, Council unanimously passed the Sustainable and Resilient Charlotte by 2050 Resolution. This resolution called for Charlotte to become a low-carbon city by 2050, among other things. It set a target to reduce emissions city-wide from 12 tons of C02e to less than 2 tons of C02e per capita per year. The Strategic Energy Action Plan was unanimously passed by Council in December 2018. This is the city plan to reach the targets the resolution set.	885708	2019	POINT (-80.8431 35.2271)	2021-05-20T02:33:48.460
2020	51075	City of Shenzhen	Shenzhen	China	East Asia	public	Independent city	No target	Other, please specify: 单位GDP二氧化碳排放		Same – covers entire city and nothing else		2011			2020												13026600	2018	POINT (113.813 22.9175)	2021-05-20T02:33:48.460
2020	31181	City of Philadelphia	Philadelphia	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target				2006	2016	21000000	28	2025	15120000						Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way		Yes - 2 °C	No	By 2025 Philadelphia will reduce citywide carbon emissions 28% from 2006 levels, in line with the United States’ commitment tothe Paris Agreement.  By 2030 the City of Philadelphia local government will lead by example, cutting energy use 20% and carbon emissions 50% and sourcing 100% of clean electricity for municipal operations. By 2050 Philadelphia will reducecitywide carbon emissions at least 80 percent from 2006 levels.For more information, see Powering Our Future report: https://www.phila.gov/media/20180821150658/Powering-Our-Future-Full-Report.pdf	1555072	2015	POINT (-75.1638 39.9523)	2021-05-20T02:33:48.460
2020	842165	Mezitli	Mezitli	Turkey	Europe	public																								POINT (34.3976 36.8574)	2021-05-20T02:33:48.460
2020	59669	City of North Vancouver	North Vancouver	Canada	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2007	2019	224212	80	2040	44842.4								Yes - 1.5 °C	No	Includes: solid waste, public transportation; private transportation; industrial buildings; residential buildings Data availability and reliability limit our ability to track percentage of target achieved so far.	52898	2016	POINT (-123.072 49.32)	2021-05-20T02:33:48.460
2020	60318	Prefeitura de Porto Velho	Porto Velho	Brazil	Latin America	public	City / Municipality	Base year emissions (absolute) target																				494	2014	POINT (-40.3776 -20.3338)	2021-05-20T02:33:48.460
2020	49342	City of Rochester	Rochester	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory	NA	Same – covers entire city and nothing else	2010	2017	1800000	40	2030	1080000					0			Do not know	Yes	Source: Rochester Climate Action Plan, page 32	210563	2010	POINT (-77.6109 43.161)	2021-05-20T02:33:48.460
2020	60546	Nanjing Municipal People's Government	Nanjing	China	East Asia	public	City / Municipality	Base year emissions (absolute) target	"Other, please specify: ●	煤炭消费总量"			2017				2018											煤炭消费总量削减250万吨以上	8500000	2019	POINT (118.797 32.0603)	2021-05-20T02:33:48.460
2020	60656	City of Piedmont, CA	Piedmont	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Larger – covers the whole city and adjoining areas	2005	2018	48820	40	2030	29292					55			Other: It has 40% by 2030, but by 2005 year not 1990 as the baseline.	Yes	According to the NDC website, the United States intends to achieve an economy-wide target of reducing its greenhouse gas emissions by 26%-28% below its 2005 level in 2025 and to make best efforts to reduce its emissions by 28%. The City's target is more ambitions. The City's goals are consistent with the State's goals.	11378	2017	POINT (-122.232 37.8244)	2021-05-20T02:33:48.460
2020	59536	City of Kitchener	Kitchener	Canada	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Larger – covers the whole city and adjoining areas	2010	2020	4600000	80	2050	920000					5.2	Declaring Climate Emergency; Other, please specify: FCM's Transition 2050		Yes - 1.5 °C	Yes	The community climate action target for Waterloo Region is an 80% absolute reduction target below 2010 levels by 2050.	246700	2016	POINT (-80.561 43.42)	2021-05-20T02:33:48.460
2020	32480	City of Adelaide	Adelaide	Australia	Southeast Asia and Oceania	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory	N/A	Same – covers entire city and nothing else	2007	2015	1148108	35	2020	746270.2					42.03	Global Covenant of Mayors for Climate & Energy		Yes - 1.5 °C	Yes, but it exceeds its scale or requirement	As detailed in 'Carbon Neutral Strategy 2015 - 2025 Adelaide, South Australia', The City of Adelaide targeted to has its  community carbon emissions reduced by 35% by 2020 from FY2007 baseline year.  CoA's target is more ambitious than Australia's NDC (economy-wide target to reduce greenhouse gas emissions by 26% to 28% below 2005 levels by 2030)	24807	2018	POINT (138.601 -34.9285)	2021-05-20T02:33:48.460
2020	51075	City of Shenzhen	Shenzhen	China	East Asia	public	Independent city	Base year intensity target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2011			45	2020	20200.81		Metric tonnes of CO2e per unit GDP									13026600	2018	POINT (113.813 22.9175)	2021-05-20T02:33:48.460
2020	35859	City of Cleveland	Cleveland	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2010	2013	12907920	40	2030	7744752					7.8	Global Covenant of Mayors for Climate & Energy			No	This goal is science-based and designed to be bold, yet achievable. The Cleveland Climate Action Plan includes details on how much each emission reduction activity contributes to the goal. The GHG emission targets were first adopted in 2013, and were re-established in 2018 during the CAP update.	383793	2018	POINT (-81.6944 41.4993)	2021-05-20T02:33:48.460
2020	54517	City Örebro	Örebro	Sweden	Europe	public	City / Municipality	Base year intensity target	Other, please specify: Energy and transport	Energy: Includes all electricity, district heat and fuel (oil) in residential buildings, commercial and public buildings, industry buildings/facilities and institutional buildings. Transport: Includes light and heavy trucks, buses, passenger cars, working machines (industrial and construction working machines, agriculture and forestry, commercial and public operations and others - for example airports and ports).	Same – covers entire city and nothing else	2000	2016	900974	70	2030	380391		Metric tonnes of CO2e per capita	7		50			Do not know	Yes	In Sweden we have a climate law and within that framework we have a goal of net zero emissions by 2045. In addition, emissions from domestic transport (excluding domestic flights) will be reduced by at least 70 percent by 2030 compared with 2010. The overall goal for Örebro Municipality is to reach climate neutrality to 2045. Interim targets for Örebro Municipality is to reduce the climate impact (from energy and transport) by 100 percent per capita by 2045, 70 percent per capita by 2030, and 40 percent per capita by 2020, compared with 2000.  For the geographical area, the interim targets in the strategy includes the sectors energy and transport. These are easier to make fossil free than other sectors, such as food production and imported products. The sectors energy and transport therefore need to take a larger part of the reduction.For example, Örebro municipality can reduce the climate impact from transport through sustainable urban planning for increased sustainable travel, place demands on suppliers during procurement and work with the municipality's own vehicle fleet and our own travel (in the organisation). Then we are dependent on instruments at the European and national level.Sweden has submitted as a European member to the NDC in 2015 (EU first NDC). The EU climate plan contains emission reductions of 40 percent by 2030, compared with 1990. Sweden’s national target for the non-trading sector has a higher level of ambition than Sweden’s commitment within the EU.	155696	2019	POINT (15.2066 59.2741)	2021-05-20T02:33:48.460
2020	35864	Ekurhuleni Metropolitan Municipality	Ekurhuleni	South Africa	Africa	public	Metropolitan area	Fixed level target	Waste		Same – covers entire city and nothing else		2019			2030	122507.5	5500000				50			Do not know	No		3894000	2020	POINT (28.3462 -26.1777)	2021-05-20T02:33:48.460
2020	31181	City of Philadelphia	Philadelphia	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory	N/A	Same – covers entire city and nothing else	2006	2016	21000000	80	2050	4200000						Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way		Yes - 2 °C	No	By 2025 Philadelphia will reduce citywide carbon emissions 28% from 2006 levels, in line with the United States’ commitment tothe Paris Agreement.  By 2030 the City of Philadelphia local government will lead by example, cutting energy use 20% and carbon emissions 50% and sourcing 100% of clean electricity for municipal operations. By 2050 Philadelphia will reducecitywide carbon emissions at least 80 percent from 2006 levels.For more information, see Powering Our Future report: https://www.phila.gov/media/20180821150658/Powering-Our-Future-Full-Report.pdf	1555072	2015	POINT (-75.1638 39.9523)	2021-05-20T02:33:48.460
2020	848129	Esquías		Honduras	Latin America	public	City / Municipality	No target																				18308	2018		2021-05-20T02:33:48.460
2020	59545	City of Charlottesville, VA	Charlottesville	United States of America	North America	public	Independent city	Base year emissions (absolute) target																				47266	2019	POINT (-78.4767 38.0293)	2021-05-20T02:33:48.460
2020	2185	Bristol City Council	Bristol	United Kingdom of Great Britain and Northern Ireland	Europe	public	City / Municipality	Fixed level target	All emissions sources included in city inventory		Partial – covers part of the city and adjoining areas		2018			2030	0	500000					Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way; Declaring Climate Emergency; Individual City Commitment		Yes - 1.5 °C	Yes, but it exceeds its scale or requirement	In November 2018 Bristol City Council became the first council to declare a climate emergency and with this announcement pledged to make the city carbon neutral by 2030. This put Bristol's emission reduction target among the most ambitious in the UK and in-line with the -1,5 degree C emission pathway set-out in the Paris Agreement. On 24th June 2019, the UK Government enshrined a new net-zero emissions target for 2050 into UK law. Our target is still to better this and to be carbon neutral as a city by 2030.  The data that we have available on a city-scale indicates that we have reduced our emissions by 39.1% from 2005-2018.	463400	2018		2021-05-20T02:33:48.460
2020	834219	Municipality of Corrientes		Argentina	Latin America	public	City / Municipality	Baseline scenario (business as usual) target	Other, please specify: Energía, Transporte y Desechos	Se toman a consideración las fuentes de emisión clasificadas en el inventario como básicas (siguiendo el estándar GPC). El nivel BASIC (básico) cubre las fuentes de emisión que se producen en casi todas las ciudades (energía estacionaria, transporte dentro de los límites y desechos generados en la ciudad), donde las metodologías y datos de cálculo están fácilmente disponibles. Se corresponde a un marco de reporte inducido por la ciudad. En detalle, las emisiones cubiertas son: - Energía Estacionaria, alcances 1 y 2 - Transporte, alcance 1 (se utiliza el método de venta de combustible) y 2- Residuos, alcance 1 y 3Se decidió no incorporar las emisiones de agricultura y ganadería y las emisiones de alcance 3 de energía estacionaria (incluidas en el inventario) ya que sobre estas, los gobiernos locales no tienen capacidad de realizar acciones concretas para mitigarlas. Se incluyeron sólo aquellas que pueden ser gestionados más fácilmente a escala local.	Same – covers entire city and nothing else	2018	2019	1122935.52	18	2030					1312970.46			Durante el 2014 en Argentina se emitieron 368 millones de toneladas de dióxido decarbono equivalente (MtCO 2e ). Por otro lado, las emisiones proyectadas al año 2030bajo el escenario BAU ascienden a 592 MtCO 2e  . De esta forma, el aumento porcentualrelativo de emisiones proyectado para el 2030 es del 60,87%.Este aumento será considerado para la preparación del escenario BAU de Corrientesdonde se proyectarán las emisiones alcanzadas por el nivel BÁSICO. Éste nivel abarca los sectores en los cuales los gobiernos localesposeen mayor capacidad de realizar acciones concretas, y que pueden sergestionados más fácilmente que los incluidos en el nivel BÁSICO+.Para correlacionar el escenario Business as Usual nacional con el de Corrientes serealizó un ajuste considerando las tasas de aumento poblacional. El factor de ajuste esequivalente a la relación entre la variación poblacional en el período 2014-2030 a nivelnacional y local.El INDEC estima que durante este tiempo la población argentina aumentará un15,79%  y un 22,06% en el municipio. Por lo tanto, el factor de ajuste resulta de 140%.Así, el aumento de emisiones proyectado para Corrientes será del 85,04%.Tomando de base el inventario BÁSICO de Corrientes del 2014, las emisionesproyectadas bajo el escenario tendencial al 2030 serán de 1.312.965,32tCO2 e .Tomando como referencia la meta de reducción de emisiones presentada por el país yacorde a lo establecido en el Pacto de Alcaldes por el Clima y la Energía, Corrientesse compromete a reducir sus emisiones de gases de efecto en al menos un 18%respecto al escenario BAU al 2030, considerando las fuentes de emisión del alcanceBÁSICO. De esta forma, en 2030, Corrientes no emitirá más de 1.076.631,56tCO 2e	Do not know	No	Se espera que la reducción de emisiones propuesta por Corrientes y las medidas que se desarrollen para su concreción, se sumen a los esfuerzos nacionales.	349648	2018		2021-05-20T02:33:48.460
2020	54102	City of Albany	Albany	United States of America	North America	public	City / Municipality	Base year emissions (absolute) target				2009			20	2030												97856	2010	POINT (-73.7562 42.6526)	2021-05-20T02:33:48.460
2020	54620	Gobierno Municipal de la Ciudad de Paraná	la Ciudad de Paraná	Argentina	Latin America	public	City / Municipality	Baseline scenario (business as usual) target	Other, please specify: Eergía, Transporte y Desechos	Se toman a consideración las fuentes de emisión clasificadas en el inventario como básicas (siguiendo el estándar GPC). El nivel BASIC (básico) cubre las fuentes de emisión que se producen en casi todas las ciudades (energía estacionaria, transporte dentro de los límites y desechos generados en la ciudad), donde las metodologías y datos de cálculo están fácilmente disponibles. Se corresponde a un marco de reporte inducido por la ciudad. En detalle, las emisiones cubiertas son: - Energía Estacionaria, alcances 1 y 2 - Transporte, alcance 1 (se utiliza el método de venta de combustible) y 2- Residuos, alcance 1 y 3Se decidió no incorporar las emisiones de agricultura y ganadería y las emisiones de alcance 3 de energía estacionaria (incluidas en el inventario) ya que sobre estas, los gobiernos locales no tienen capacidad de realizar acciones concretas para mitigarlas. Se incluyeron sólo aquellas que pueden ser gestionados más fácilmente a escala local.	Same – covers entire city and nothing else	2018	2019	734928.18	18	2030					1015150.13			Durante el 2014  en Argentina se emitieron 368 millones de toneladas de dióxido de carbono equivalente (MtCO2e).  Por otro lado, las emisiones proyectadas al año 2030 bajo el escenario BAU ascienden a 592 MtCO2e . De esta forma, el aumento porcentual relativo de emisiones proyectado para el 2030 es del 60,87%. Este aumento será considerado para la preparación del escenario BAU de Paraná donde se proyectarán las emisiones alcanzadas por el nivel BÁSICO. Éste nivel abarca los sectores en los cuales los gobiernos locales poseen mayor capacidad de realizar acciones concretas, y que pueden ser gestionados más fácilmente que los incluidos en el nivel BÁSICO+. Para correlacionar el escenario Business as Usual nacional con el de Paraná se realizó un ajuste considerando las tasas de aumento poblacional. El factor de ajuste es equivalente a la relación entre la variación poblacional en el período 2014-2030 a nivel nacional y local.Factor de ajuste=  (variación población 2014-2030 Paraná)/(variación población 2014-2030 Argentina)El INDEC estima que durante este tiempo la población argentina aumentará un 15,79%  y un 7,26% en el municipio (considerando la variación intercensal entre los censos poblacionales del 2001 y 2010). Por lo tanto factor de ajuste resulta de 0,4597. Así, el aumento de emisiones proyectado para Paraná será del 27,98%.Aumento de emisiones en Paraná 2014-2030 (%)= 60,87%*0,4597= 27,98%Tomando de base el inventario BÁSICO de Paraná del 2014, las emisiones proyectadas bajo el escenario tendencial al 2030 serán de 1.015.150,13 tCO2e.Emisiones Paraná al 2030= 793.211,8 tCO2e*1,2798=1.015.150,13 tCO2eTomando como referencia la meta de reducción de emisiones presentada por el país y acorde a lo establecido en el Pacto de Alcaldes por el Clima y la Energía, Paraná se compromete a reducir sus emisiones de gases de efecto en al menos un 18% respecto al escenario BAU al 2030, considerando las fuentes de emisión del alcance BÁSICO.  De esta forma, en 2030, Paraná no emitirá más de 832.423,11 tCO2e	Do not know	No	Se espera que la reducción de emisiones propuesta por Paraná y las medidas que se desarrollen para su concreción, se sumen a los esfuerzos nacionales.	260182	2018		2021-05-20T02:33:48.460
2020	74414	Boulder County	Boulder County	United States of America	North America	public	Province / County	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2005		5067000	45	2030	2786850									No		322226	2016	POINT (-105.5 40.15)	2021-05-20T02:33:48.460
2020	43938	The Executive Council, Govt of Dubai	Dubai	United Arab Emirates	Middle East	public	City / Municipality	Baseline scenario (business as usual) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2011	2012	46160000	16	2020					67490000	8.71	Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way; Global Covenant of Mayors for Climate & Energy	The business as usual and targets were developed based on  forecasted  population and GDP.	Yes - 1.5 °C	No	The UAE has committed to achieving a 24% renewable energy by 2021 as part of its NDC. The UAE has not committed to a specific reduction in greenhouse gases. Dubai's targets for carbon abatement (16% reduction compared to business as usual by 2021) go beyond the national commitments with regard to reduction in greenhouse gas emissions.  Dubai also has set targets for clean and renewable energy (25% by 2030 and 75% by 2050) which go beyond the UAE NDC on the long term. They are less ambitious than the NDC on the short term (2021) as the UAE targets are mostly linked to the nuclear power plant being built in Abu Dhabi. It will take additional time for Dubai to build its renewable and clean energy sources.	3335900	2019	POINT (55.2708 25.2048)	2021-05-20T02:33:48.460
2020	43911	City of Ottawa	Ottawa	Canada	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2012	2020	6907000	96	2040	276280								Yes - 1.5 °C			991429	2018	POINT (-75.6972 45.4215)	2021-05-20T02:33:48.460
2020	839673	Municipalidad Distrital de Jesús María		Peru	Latin America	public	City / Municipality	Base year emissions (absolute) target	Waste	Emissions from solid waste generated in the city but disposed of in landfills or dumps outside the city.	Same – covers entire city and nothing else	2019	2020	9660.92	50	2030	4830.46					5	Global Covenant of Mayors for Climate & Energy; ICLEI’s Green Climate Cities Program		Yes - 1.5 °C	Yes	There is an urgent need to reduce the generation of solid waste at the district level, increasing recycling and giving it value through the creation of circular economy chains. Many municipalities nationwide have taken the first steps in this direction. However, the production of solid waste per inhabitant continues to increase as well as the percentage of this waste that ends up in a sanitary landfill, generating among many problems that the values of Greenhouse Gases (GHG) associated with solid waste are still very high. More work is needed to reduce the amount of waste that currently ends up in transfer plants nationwide. The key is not only to increase recycling values at the local or district level but to give them value through proper management. Currently, the economic system that accompanies recycling is radically faced with the life cycle of nature and sustainable development, both concepts focused on long-term processes. In that sense Jesus Maria is  establishing guidelines for the continuous reuse of resources, thus reducing the consequences for future generations. Taking the cyclical model of nature as an example, the circular economy is presented as a system of resource use where the reduction of the elements prevails: minimizing production to the indispensable minimum, and when it is necessary to make use of the product, betting on the reuse of the elements that due to their properties cannot return to the environment. Jesus Maria  focus on implementing an integrated system of treatment (segregation at the source, selective collection, recovery and reuse) of organic waste generated in the district as an alternative to reducing the amounts of waste generated for final disposal, and whose reuse contributes to living in harmony with the environment and reducing the ecological footprint, in order to achieve a healthy life and a resilient district, in compliance with the goals, plans and legal framework for solid waste.- Reduce the generation of solid waste at the municipal level: Environmental awareness, inspection, support regulations, etc.- Strengthen selective collection: Installation of Clean Points, improve collection systems and public cleaning, articulation of efforts with formalization of recyclers, etc.- Reuse of resources and raw materials: Recovery of solid waste, technological waste, composting, infrastructure, etc.	75359	2019		2021-05-20T02:33:48.460
2020	54641	Prefeitura de Limeira	Limeira	Brazil	Latin America	public	City / Municipality	No target																				276022	2010	POINT (-47.3974 -22.5665)	2021-05-20T02:33:48.460
2020	68290	Wyndham City Council		Australia	Southeast Asia and Oceania	public	Local government area within a greater city / metropolitan area	Base year emissions (absolute) target	All emissions sources included in city inventory	Council greenhouse gas and air pollution.	Same – covers entire city and nothing else	2014	2016	25956	95	2040	1297.8								Yes - 1.5 °C	Yes	Wyndham City has made a clear commitment toCorporate and Community greenhouse gas (ghg)reduction targets through the Environment &Sustainability Strategy (2016-2040).The adopted targets are science-based and alignwith the global emissions reductions required tomeet the United Nations Framework Conventionon Climate Change’s (UNFCCC) Paris Agreement2- to keep global temperature rise this century wellbelow 2 degrees Celsius (°C) above pre-industriallevels and to pursue efforts to limit the temperatureincrease even further to 1.5°C.The Greenhouse Action Plan (the Plan) will providea roadmap for Wyndham City to:• Meet Wyndham’s 2020 ghg reduction targetsand establish a pathway towards 2040 targets;• Support Wyndham’s residential and businesscommunity to transition to a low carbon cityby saving energy, producing low/no carbonelectricity and achieving long term financialand environmental benefits for the region; and• Reinforce Wyndham City’s position as a leaderin tackling climate change, and supportingrenewable energy through innovativepartnerships, projects and community programs.Council Targets2020 • Reduce Council’s corporate greenhouse emissions (CO2-e) by 12% below a 2014/2015baseline, excluding the RDF*.2040• Reduce Council’s greenhouse emissions (CO2-e) by 95%.• Wyndham will be carbon neutral for corporate greenhouse emissions, as defined by theNational Carbon Offset Standard, through the purchase of local offsets (excluding the RDF).Community Targets2020 • At least 55,000 tonnes of greenhouse gas emissions (CO2-e) avoided from residentialand business sectors through the Low Carbon West Strategy.2040 • Zero net greenhouse emissions from electricity use in the municipality.	255322	2018		2021-05-20T02:33:48.460
2020	58413	City of Carmel, IN	Carmel	United States of America	North America	public	Independent city	No target																				93510	2018	POINT (-86.118 39.9784)	2021-05-20T02:33:48.460
2020	20113	City of Vancouver	Vancouver	Canada	North America	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory	Note: current absolute reduction targets defined in Greenest City Action Plan are based on inventory protocol in use when target was adopted (International Emissions Analysis Protocol (ICLEI. Action Plan is being revised. Stated percentage reduction targets below are correct, but absolute targets below do not reflect our GPC-compliant inventory.	Same – covers entire city and nothing else	2007	2017	2765000	50	2030	1382500					9	Deadline 2020 - Delivering the 1.5 degree ambition of the Paris Agreement in a resilient, inclusive way; Declaring Climate Emergency; Global Covenant of Mayors for Climate & Energy; Individual City Commitment; One Planet City Challenge		Yes - 1.5 °C	Yes, but it exceeds its scale or requirement	Target was set as part of Renewable City Action Plan, the City's renewable energy plan to 2050. It is compliant with IPCC-recommended emissions pathways for 1.5'C.	648000	2019	POINT (-123.114 49.2612)	2021-05-20T02:33:48.460
2020	54386	Tainan City Government	Tainan	Taiwan, Greater China	East Asia	public	City / Municipality	Base year emissions (absolute) target	All emissions sources included in city inventory		Same – covers entire city and nothing else	2005		19510422	2	2020	19120213.56					0	Global Covenant of Mayors for Climate & Energy; Individual City Commitment		Yes - 2 °C	Yes		1880906	2019	POINT (120.227 22.9999)	2021-05-20T02:33:48.460
2020	73726	Itagüí		Colombia	Latin America	public	City / Municipality	No target																				276744	2018		2021-05-20T02:33:48.460
2020	54650	Prefeitura de Palmas	Palmas	Brazil	Latin America	public	City / Municipality	Base year emissions (absolute) target																				291855	2018	POINT (-48.3243 -10.2491)	2021-05-20T02:33:48.460
2020	832274	Município de Odemira		Portugal	Europe	public																									2021-05-20T02:33:48.460
2020	848128	Ocú		Panama	Latin America	public	City / Municipality	Fixed level target																				15539	2010		2021-05-20T02:33:48.460
